,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6046634,46006.0,184796.0,1143.0,3347940.0,34079.0,2513898.0,16231.0,18250,558.0,79472486.0,239870.0,331314584,55,1793.0,4,North America
1,Brazil,3764493,42489.0,118726.0,970.0,2947250.0,38402.0,698517.0,8318.0,17690,558.0,14172764.0,66601.0,212801376,57,1792.0,15,South America
2,India,3384575,76826.0,61694.0,1065.0,2583063.0,59620.0,739818.0,8944.0,2449,45.0,38576510.0,27910.0,1382159883,408,22403.0,36,Asia
3,Russia,975576,4711.0,16804.0,121.0,792561.0,6411.0,166211.0,2300.0,6685,115.0,35400000.0,242558.0,145944672,150,8685.0,4,Europe
4,Peru,621997,8619.0,28277.0,153.0,429662.0,7785.0,164058.0,1526.0,18823,856.0,3089459.0,93495.0,33043934,53,1169.0,11,South America
5,South Africa,618286,2585.0,13628.0,126.0,531338.0,6096.0,73320.0,539.0,10404,229.0,3617982.0,60882.0,59426511,96,4361.0,16,Africa
6,Colombia,582022,9752.0,18468.0,284.0,417793.0,10672.0,145761.0,1493.0,11419,362.0,2619712.0,51398.0,50968843,88,2760.0,19,South America
7,Mexico,573888,5267.0,62076.0,626.0,396758.0,3657.0,115054.0,3305.0,4444,481.0,1291083.0,9997.0,129147534,225,2080.0,100,North America
8,Spain,451792,3781.0,28996.0,25.0,0.0,0.0,0.0,715.0,9662,620.0,8517446.0,182161.0,46757733,103,1613.0,5,Europe
9,Chile,404102,1737.0,11072.0,82.0,377922.0,1654.0,15108.0,1012.0,21110,578.0,2303242.0,120322.0,19142366,47,1729.0,8,South America
10,Argentina,380292,10104.0,8050.0,211.0,274458.0,5657.0,97784.0,2075.0,8402,178.0,1172811.0,25912.0,45261789,119,5623.0,39,South America
11,Iran,367796,2190.0,21137.0,117.0,316638.0,1768.0,30021.0,3822.0,4370,251.0,3138782.0,37294.0,84162243,229,3982.0,27,Asia
12,UK,330368,1522.0,41477.0,12.0,0.0,0.0,0.0,64.0,4862,610.0,16273209.0,239511.0,67943420,206,1638.0,4,Europe
13,Saudi Arabia,311855,1019.0,3785.0,30.0,286255.0,1310.0,21815.0,1582.0,8936,108.0,4792192.0,137318.0,34898530,112,9220.0,7,Asia
14,Bangladesh,304583,2436.0,4127.0,45.0,193458.0,3275.0,106998.0,0.0,1847,25.0,1500385.0,9096.0,164949951,542,39968.0,110,Asia
15,Pakistan,294638,445.0,6274.0,7.0,279561.0,622.0,8803.0,641.0,1330,28.0,2535778.0,11445.0,221554094,752,35313.0,87,Asia
