,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6211796,38560.0,187736.0,512.0,3456263.0,30540.0,2567797.0,15864.0,18748,567.0,82624841.0,249373.0,331330464,53,1765.0,4,North America
1,Brazil,3910901,48590.0,121515.0,619.0,3097734.0,66175.0,691652.0,8318.0,18377,571.0,14352484.0,67442.0,212813742,54,1751.0,15,South America
2,India,3687939,68770.0,65435.0,818.0,2837377.0,64449.0,785127.0,8944.0,2668,47.0,42307914.0,30608.0,1382271004,375,21124.0,33,Asia
3,Russia,995319,4993.0,17176.0,83.0,809387.0,2405.0,168756.0,2300.0,6820,118.0,36696382.0,251439.0,145945183,147,8497.0,4,Europe
4,Peru,652037,4871.0,28944.0,156.0,462329.0,6872.0,160764.0,1512.0,19730,876.0,3215842.0,97309.0,33047700,51,1142.0,10,South America
5,South Africa,627041,1985.0,14149.0,121.0,540923.0,2319.0,71969.0,539.0,10550,238.0,3693721.0,62150.0,59432639,95,4200.0,16,Africa
6,Colombia,615168,7230.0,19663.0,299.0,459475.0,8854.0,136030.0,1493.0,12068,386.0,2746217.0,53876.0,50973286,83,2592.0,19,South America
7,Mexico,595841,4129.0,64158.0,339.0,412580.0,3453.0,119103.0,3060.0,4613,497.0,1340466.0,10378.0,129158631,217,2013.0,96,North America
8,Spain,462858,2489.0,29094.0,28.0,0.0,0.0,0.0,846.0,9899,622.0,9210337.0,196979.0,46757881,101,1607.0,5,Europe
9,Argentina,417735,9309.0,8660.0,203.0,301195.0,7188.0,107880.0,2273.0,9229,191.0,1257906.0,27790.0,45265185,108,5227.0,36,South America
10,Chile,411726,1752.0,11289.0,45.0,383879.0,1295.0,16558.0,969.0,21507,590.0,2432436.0,127062.0,19143709,46,1696.0,8,South America
11,Iran,375212,1642.0,21571.0,109.0,323233.0,1812.0,30408.0,3729.0,4458,256.0,3231110.0,38387.0,84171055,224,3902.0,26,Asia
12,UK,335873,1406.0,41501.0,2.0,0.0,0.0,0.0,60.0,4943,611.0,16273209.0,239501.0,67946337,202,1637.0,4,Europe
13,Saudi Arabia,315772,951.0,3897.0,27.0,290796.0,1129.0,21079.0,1552.0,9047,112.0,5026127.0,144003.0,34902978,111,8956.0,7,Asia
14,Bangladesh,312996,2174.0,4281.0,33.0,204887.0,2980.0,103828.0,0.0,1897,26.0,1550203.0,9397.0,164963389,527,38534.0,106,Asia
15,Pakistan,295849,213.0,6294.0,6.0,280682.0,135.0,8873.0,604.0,1335,28.0,2621146.0,11829.0,221589309,749,35206.0,85,Asia
16,France,281025,3082.0,30635.0,29.0,86469.0,292.0,163921.0,409.0,4304,469.0,6461460.0,98953.0,65298143,232,2131.0,10,Europe
17,Turkey,270133,1587.0,6370.0,44.0,244926.0,1087.0,18837.0,961.0,3197,75.0,7138492.0,84489.0,84490286,313,13264.0,12,Asia
18,Italy,269214,996.0,35483.0,6.0,207653.0,117.0,26078.0,94.0,4454,587.0,8644859.0,143017.0,60446519,225,1704.0,7,Europe
19,Germany,244792,1497.0,9371.0,7.0,219900.0,2058.0,15521.0,245.0,2920,112.0,11208091.0,133701.0,83829512,342,8946.0,7,Europe
20,Iraq,234934,3757.0,7042.0,83.0,176602.0,3722.0,51290.0,512.0,5820,174.0,1605904.0,39782.0,40367827,172,5732.0,25,Asia
21,Philippines,220781,3408.0,3558.0,38.0,157548.0,151.0,59675.0,837.0,2010,32.0,2591819.0,23600.0,109822354,497,30866.0,42,Asia
22,Indonesia,174796,2743.0,7417.0,74.0,125959.0,1774.0,41420.0,0.0,638,27.0,2224337.0,8118.0,274005809,1568,36943.0,123,Asia
23,Canada,128948,1008.0,9126.0,9.0,114227.0,563.0,5595.0,50.0,3412,241.0,5504392.0,145628.0,37797601,293,4142.0,7,North America
24,Ukraine,121215,2141.0,2557.0,30.0,57114.0,380.0,61544.0,177.0,2775,59.0,1550280.0,35485.0,43688006,360,17086.0,28,Europe
25,Qatar,118778,203.0,197.0,0.0,115667.0,237.0,2914.0,68.0,42303,70.0,629831.0,224314.0,2807805,24,14253.0,4,Asia
26,Israel,116596,2576.0,939.0,20.0,95009.0,2213.0,20648.0,437.0,12677,102.0,2295951.0,249625.0,9197590,79,9795.0,4,Asia
27,Bolivia,115968,614.0,4966.0,28.0,58497.0,1748.0,52505.0,71.0,9912,424.0,239640.0,20483.0,11699337,101,2356.0,49,South America
28,Ecuador,113767,119.0,6556.0,1.0,101669.0,49.0,5542.0,365.0,6432,371.0,328929.0,18597.0,17687134,155,2698.0,54,South America
29,Kazakhstan,105795,111.0,1523.0,0.0,96297.0,162.0,7975.0,221.0,5623,81.0,2434444.0,129395.0,18814004,178,12353.0,8,Asia
30,Egypt,98939,212.0,5421.0,22.0,72929.0,809.0,20589.0,41.0,964,53.0,135000.0,1315.0,102648563,1037,18935.0,760,Africa
31,Dominican Republic,94715,474.0,1710.0,29.0,68082.0,1306.0,24923.0,217.0,8717,157.0,370875.0,34131.0,10866073,115,6354.0,29,North America
32,Panama,92982,917.0,2002.0,7.0,66173.0,426.0,24807.0,168.0,21494,463.0,339893.0,78571.0,4325925,47,2161.0,13,North America
33,Romania,87540,755.0,3621.0,43.0,37869.0,204.0,46050.0,506.0,4556,188.0,1802946.0,93829.0,19215305,220,5307.0,11,Europe
34,Oman,85722,178.0,685.0,8.0,80810.0,351.0,4227.0,155.0,16719,134.0,309212.0,60306.0,5127346,60,7485.0,17,Asia
35,Kuwait,85109,473.0,531.0,1.0,77224.0,574.0,7354.0,91.0,19881,124.0,617619.0,144271.0,4280975,50,8062.0,7,Asia
36,China,85048,17.0,4634.0,0.0,80177.0,24.0,237.0,4.0,59,3.0,90410000.0,62814.0,1439323776,16924,310601.0,16,Asia
37,Belgium,85042,443.0,9894.0,3.0,18415.0,12.0,56733.0,71.0,7332,853.0,2278713.0,196472.0,11598176,136,1172.0,5,Europe
38,Sweden,84379,0.0,5808.0,5.0,0.0,0.0,0.0,19.0,8346,574.0,1094856.0,108296.0,10109890,120,1741.0,9,Europe
39,Guatemala,74074,162.0,2760.0,20.0,62068.0,387.0,9246.0,5.0,4122,154.0,242502.0,13495.0,17969568,243,6511.0,74,North America
40,Belarus,71843,156.0,681.0,5.0,70468.0,16.0,694.0,0.0,7603,72.0,1532119.0,162150.0,9448789,132,13875.0,6,Europe
41,Netherlands,70667,527.0,6224.0,0.0,0.0,0.0,0.0,51.0,4123,363.0,1455274.0,84899.0,17141338,243,2754.0,12,Europe
42,UAE,70231,541.0,384.0,2.0,60931.0,331.0,8916.0,0.0,7087,39.0,7094658.0,715892.0,9910239,141,25808.0,1,Asia
43,Japan,67865,601.0,1279.0,15.0,56802.0,638.0,9784.0,236.0,537,10.0,1467132.0,11606.0,126409529,1863,98835.0,86,Asia
44,Poland,67372,502.0,2039.0,6.0,46638.0,446.0,18695.0,83.0,1780,54.0,2714027.0,71725.0,37839481,562,18558.0,14,Europe
45,Morocco,62590,1191.0,1141.0,30.0,47595.0,1240.0,13854.0,31.0,1692,31.0,1934334.0,52303.0,36983234,591,32413.0,19,Africa
46,Honduras,60174,529.0,1858.0,16.0,10242.0,86.0,48074.0,43.0,6060,187.0,143807.0,14481.0,9930472,165,5345.0,69,North America
47,Portugal,58012,244.0,1822.0,3.0,41961.0,76.0,14229.0,41.0,5692,179.0,1976482.0,193933.0,10191571,176,5594.0,5,Europe
48,Singapore,56812,41.0,27.0,0.0,55658.0,72.0,1127.0,0.0,9698,5.0,1832813.0,312870.0,5858071,103,216966.0,3,Asia
