,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6173236,33981.0,187224.0,369.0,3425723.0,16924.0,2560289.0,15996.0,18632,565.0,81830079.0,246978.0,331325170,54,1770.0,4,North America
1,Brazil,3862311,15346.0,120896.0,398.0,3031559.0,24747.0,709856.0,8318.0,18149,568.0,14352484.0,67443.0,212809620,55,1760.0,15,South America
2,India,3619169,79457.0,64617.0,960.0,2772928.0,60408.0,781624.0,8944.0,2618,47.0,41461636.0,29996.0,1382233964,382,21391.0,33,Asia
3,Russia,990326,4980.0,17093.0,68.0,806982.0,2599.0,166251.0,2300.0,6786,117.0,36426850.0,249593.0,145945013,147,8538.0,4,Europe
4,Peru,647166,7731.0,28788.0,181.0,455457.0,8782.0,162921.0,1514.0,19584,871.0,3191850.0,96587.0,33046445,51,1148.0,10,South America
5,South Africa,625056,2505.0,14028.0,47.0,538604.0,1910.0,72424.0,539.0,10517,236.0,3674872.0,61835.0,59430596,95,4237.0,16,Africa
6,Colombia,607938,8024.0,19364.0,300.0,450621.0,10047.0,137953.0,1493.0,11927,380.0,2715591.0,53276.0,50971805,84,2632.0,19,South America
7,Mexico,591712,5974.0,63819.0,673.0,409127.0,4460.0,118766.0,3334.0,4581,494.0,1334331.0,10331.0,129154932,218,2024.0,97,North America
8,Spain,455621,0.0,29011.0,0.0,0.0,0.0,0.0,751.0,9744,620.0,8517446.0,182161.0,46757832,103,1612.0,5,Europe
9,Chile,409974,1965.0,11244.0,63.0,382584.0,1401.0,16146.0,960.0,21416,587.0,2400522.0,125398.0,19143261,47,1703.0,8,South America
10,Argentina,408426,7187.0,8457.0,104.0,294007.0,6787.0,105962.0,2232.0,9023,187.0,1242269.0,27445.0,45264053,111,5352.0,36,South America
11,Iran,373570,1754.0,21462.0,103.0,321421.0,1574.0,30687.0,3759.0,4438,255.0,3184857.0,37839.0,84168117,225,3922.0,26,Asia
12,UK,334467,1715.0,41499.0,1.0,0.0,0.0,0.0,60.0,4923,611.0,16273209.0,239504.0,67945365,203,1637.0,4,Europe
13,Saudi Arabia,314821,910.0,3870.0,30.0,289667.0,1226.0,21284.0,1545.0,9020,111.0,5026127.0,144009.0,34901495,111,9018.0,7,Asia
14,Bangladesh,310822,1897.0,4248.0,42.0,201907.0,3044.0,104667.0,0.0,1884,26.0,1537749.0,9322.0,164958910,531,38832.0,107,Asia
15,Pakistan,295636,264.0,6288.0,4.0,280547.0,207.0,8801.0,601.0,1334,28.0,2603129.0,11748.0,221577570,749,35238.0,85,Asia
16,France,277943,5413.0,30606.0,4.0,86177.0,0.0,161160.0,402.0,4257,469.0,6323472.0,96841.0,65297750,235,2133.0,10,Europe
17,Turkey,268546,1482.0,6326.0,42.0,243839.0,1027.0,18381.0,945.0,3179,75.0,7028390.0,83188.0,84487808,315,13356.0,12,Asia
18,Italy,268218,1365.0,35477.0,4.0,208536.0,312.0,24205.0,86.0,4437,587.0,8591341.0,142131.0,60446761,225,1704.0,7,Europe
19,Germany,243295,470.0,9364.0,1.0,217842.0,358.0,16089.0,245.0,2902,112.0,11208091.0,133702.0,83828781,345,8952.0,7,Europe
20,Iraq,231177,3731.0,6959.0,68.0,172880.0,3860.0,51338.0,542.0,5727,172.0,1587326.0,39324.0,40365355,175,5800.0,25,Asia
21,Philippines,217396,4284.0,3520.0,102.0,157403.0,22319.0,56473.0,837.0,1980,32.0,2558157.0,23294.0,109818368,505,31198.0,43,Asia
