,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5874146,32718.0,180604.0,430.0,3167063.0,18983.0,2526479.0,16717.0,17731,545.0,76159378.0,229889.0,331288117,56,1834.0,4,North America
1,Brazil,3605783,23085.0,114772.0,495.0,2709638.0,0.0,781373.0,8318.0,16946,539.0,14144344.0,66474.0,212780766,59,1854.0,15,South America
2,India,3105185,61749.0,57692.0,846.0,2336796.0,56896.0,710697.0,8944.0,2247,42.0,35292220.0,25538.0,1381974682,445,23954.0,39,Asia
3,Russia,956749,4852.0,16383.0,73.0,770639.0,3162.0,169727.0,2300.0,6556,112.0,34447560.0,236033.0,145943820,153,8908.0,4,Europe
4,South Africa,609773,2728.0,13059.0,72.0,506470.0,2343.0,90244.0,539.0,10263,220.0,3553425.0,59806.0,59416296,97,4550.0,17,Africa
5,Peru,594326,9090.0,27663.0,210.0,399357.0,8213.0,167306.0,1515.0,17989,837.0,2985782.0,90375.0,33037658,56,1194.0,11,South America
6,Mexico,556216,6482.0,60254.0,644.0,380492.0,4083.0,115470.0,3450.0,4307,467.0,1253432.0,9707.0,129129040,232,2143.0,103,North America
7,Colombia,541147,8044.0,17316.0,348.0,374030.0,14238.0,149801.0,1493.0,10619,340.0,2474417.0,48555.0,50961438,94,2943.0,21,South America
8,Spain,407879,0.0,28838.0,0.0,0.0,0.0,0.0,541.0,8723,617.0,7955615.0,170146.0,46757487,115,1621.0,6,Europe
9,Chile,397665,1957.0,10852.0,60.0,371179.0,1449.0,15634.0,1027.0,20777,567.0,2204009.0,115151.0,19140127,48,1764.0,9,South America
10,Iran,358905,2113.0,20643.0,141.0,309464.0,1762.0,28798.0,3841.0,4265,245.0,3036711.0,36088.0,84147556,234,4076.0,28,Asia
11,Argentina,342154,5352.0,6985.0,137.0,251400.0,5619.0,83769.0,1922.0,7560,154.0,1092556.0,24142.0,45256129,132,6479.0,41,South America
12,UK,325642,1041.0,41429.0,6.0,0.0,0.0,0.0,72.0,4793,610.0,15177265.0,223397.0,67938559,209,1640.0,4,Europe
13,Saudi Arabia,307479,1109.0,3649.0,30.0,280143.0,1702.0,23687.0,1644.0,8813,105.0,4501104.0,129004.0,34891119,113,9562.0,8,Asia
