,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6588160,38808.0,196327.0,1089.0,3879960.0,33865.0,2511873.0,14506.0,19881,592.0,89984789.0,271543.0,331383397,50,1688.0,4,North America
1,India,4559725,96760.0,76304.0,1213.0,3539983.0,70899.0,943438.0,8944.0,3298,55.0,52934433.0,38285.0,1382641407,303,18120.0,26,Asia
2,Brazil,4239763,40431.0,129575.0,922.0,3497337.0,44001.0,612851.0,8318.0,19919,609.0,14408116.0,67690.0,212854962,50,1643.0,15,South America
3,Russia,1046370,5363.0,18263.0,128.0,862373.0,5915.0,165734.0,2300.0,7170,125.0,39500000.0,270646.0,145946887,139,7991.0,4,Europe
4,Peru,710067,7291.0,30344.0,108.0,544745.0,7786.0,134978.0,1460.0,21478,918.0,3457205.0,104573.0,33060253,47,1090.0,10,South America
5,Colombia,694664,7808.0,22275.0,222.0,569479.0,16594.0,102910.0,863.0,13624,437.0,3062852.0,60070.0,50988095,73,2289.0,17,South America
6,Mexico,647507,4647.0,69095.0,611.0,454982.0,3823.0,123430.0,2919.0,5012,535.0,1465693.0,11345.0,129195619,200,1870.0,88,North America
7,South Africa,644438,2007.0,15265.0,97.0,573003.0,3068.0,56170.0,539.0,10839,257.0,3863453.0,64983.0,59453068,92,3895.0,15,Africa
8,Spain,554143,10764.0,29699.0,71.0,0.0,0.0,0.0,1136.0,11851,635.0,9987326.0,213594.0,46758374,84,1574.0,5,Europe
9,Argentina,524198,11905.0,10907.0,249.0,390098.0,7608.0,123193.0,2880.0,11578,241.0,1485790.0,32816.0,45276505,86,4151.0,30,South America
10,Chile,428675,1648.0,11781.0,79.0,401356.0,1801.0,15538.0,951.0,22387,615.0,2719687.0,142034.0,19148188,45,1625.0,7,South America
11,Iran,395488,2063.0,22798.0,129.0,340842.0,1731.0,31848.0,3728.0,4697,271.0,3483727.0,41374.0,84200427,213,3693.0,24,Asia
