,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6096235,49601.0,185901.0,1105.0,3375838.0,27898.0,2534496.0,16184.0,18400,561.0,80299670.0,242367.0,331314584,54,1782.0,4,North America
1,Brazil,3812605,48112.0,119594.0,868.0,2976796.0,29546.0,716215.0,8318.0,17916,562.0,14172764.0,66601.0,212801376,56,1779.0,15,South America
2,India,3461240,76665.0,62713.0,1019.0,2647538.0,64475.0,750989.0,8944.0,2504,45.0,39477848.0,28562.0,1382159883,399,22039.0,35,Asia
3,Russia,980405,4829.0,16914.0,110.0,798466.0,5905.0,165025.0,2300.0,6718,116.0,35751747.0,244968.0,145944672,149,8629.0,4,Europe
4,Peru,629961,7964.0,28471.0,194.0,438017.0,8355.0,163473.0,1517.0,19064,862.0,3124076.0,94543.0,33043934,52,1161.0,11,South America
5,South Africa,620132,1846.0,13743.0,115.0,533935.0,2597.0,72454.0,539.0,10435,231.0,3632311.0,61123.0,59426511,96,4324.0,16,Africa
6,Colombia,590520,8498.0,18767.0,299.0,429620.0,11827.0,142133.0,1493.0,11586,368.0,2654983.0,52090.0,50968843,86,2716.0,19,South America
7,Mexico,579914,6026.0,62594.0,518.0,400479.0,3721.0,116841.0,3294.0,4490,485.0,1304776.0,10103.0,129147534,223,2063.0,99,North America
8,Spain,455621,3829.0,29011.0,15.0,0.0,0.0,0.0,751.0,9744,620.0,8517446.0,182161.0,46757733,103,1612.0,5,Europe
9,Chile,405972,1870.0,11132.0,60.0,379452.0,1530.0,15388.0,1012.0,21208,582.0,2333516.0,121903.0,19142366,47,1720.0,8,South America
10,Argentina,392009,11717.0,8271.0,221.0,280165.0,5707.0,103573.0,2114.0,8661,183.0,1196878.0,26443.0,45261789,115,5472.0,38,South America
11,Iran,369911,2115.0,21249.0,112.0,318270.0,1632.0,30392.0,3811.0,4395,252.0,3161894.0,37569.0,84162243,228,3961.0,27,Asia
12,UK,331644,1276.0,41486.0,9.0,0.0,0.0,0.0,71.0,4881,611.0,16273209.0,239511.0,67943420,205,1638.0,4,Europe
13,Saudi Arabia,312924,1069.0,3813.0,28.0,287403.0,1148.0,21708.0,1576.0,8967,109.0,4792192.0,137318.0,34898530,112,9153.0,7,Asia
14,Bangladesh,306794,2211.0,4174.0,47.0,196836.0,3378.0,105784.0,0.0,1860,25.0,1514126.0,9179.0,164949951,538,39518.0,109,Asia
15,Pakistan,295053,415.0,6283.0,9.0,279937.0,376.0,8833.0,644.0,1332,28.0,2559261.0,11551.0,221554094,751,35262.0,87,Asia
16,France,267077,7379.0,30596.0,20.0,86177.0,193.0,150304.0,387.0,4090,469.0,6030812.0,92360.0,65296963,244,2134.0,11,Europe
17,Turkey,265515,1517.0,6245.0,36.0,241809.0,1017.0,17461.0,896.0,3143,74.0,6835674.0,80912.0,84482851,318,13528.0,12,Asia
18,Italy,265409,1462.0,35472.0,9.0,206902.0,348.0,23035.0,74.0,4391,587.0,8410510.0,139138.0,60447245,228,1704.0,7,Europe
