,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6967403,42533.0,203824.0,657.0,4223693.0,33148.0,2539886.0,14084.0,21022,615.0,97310312.0,293607.0,331431037,48,1626.0,3,North America
1,India,5398230,92755.0,86774.0,1149.0,4299724.0,94523.0,1011732.0,8944.0,3903,63.0,62454254.0,45159.0,1382974770,256,15938.0,22,Asia
2,Brazil,4528347,30913.0,136565.0,708.0,3820095.0,30956.0,571687.0,8318.0,21271,641.0,15011116.0,70510.0,212892060,47,1559.0,14,South America
3,Russia,1097251,6065.0,19339.0,144.0,906462.0,5255.0,171450.0,2300.0,7518,133.0,42400000.0,290514.0,145948421,133,7547.0,3,Europe
4,Peru,762865,6453.0,31369.0,86.0,607837.0,7042.0,123659.0,1421.0,23067,949.0,3667968.0,110910.0,33071550,43,1054.0,9,South America
5,Colombia,758398,7927.0,24039.0,189.0,627685.0,6164.0,106674.0,863.0,14870,471.0,3364500.0,65969.0,51001424,67,2122.0,15,South America
6,Mexico,688954,4841.0,72803.0,624.0,492192.0,3776.0,123959.0,2657.0,5331,563.0,1565452.0,12114.0,129228908,188,1775.0,83,North America
7,South Africa,659656,2029.0,15940.0,83.0,589434.0,2590.0,54282.0,539.0,11092,268.0,4024659.0,67674.0,59471455,90,3731.0,15,Africa
8,Spain,659334,0.0,30495.0,0.0,0.0,0.0,0.0,1345.0,14101,652.0,10756835.0,230049.0,46758818,71,1533.0,4,Europe
9,Argentina,622934,9276.0,12799.0,143.0,478077.0,10791.0,132058.0,3213.0,13755,283.0,1707947.0,37714.0,45286693,73,3538.0,27,South America
10,Chile,444674,1847.0,12254.0,55.0,418101.0,2120.0,14319.0,894.0,23218,640.0,3010713.0,157199.0,19152218,43,1563.0,6,South America
11,France,442194,13498.0,31274.0,26.0,91574.0,0.0,319346.0,827.0,6771,479.0,10000000.0,153126.0,65305619,148,2088.0,7,Europe
12,Iran,419043,2845.0,24118.0,166.0,357632.0,2127.0,37293.0,3893.0,4975,286.0,3719210.0,44157.0,84226863,201,3492.0,23,Asia
13,UK,390358,4422.0,41759.0,27.0,0.0,0.0,0.0,138.0,5744,614.0,21368297.0,314402.0,67964812,174,1628.0,3,Europe
14,Bangladesh,347372,1567.0,4913.0,32.0,254386.0,2051.0,88073.0,0.0,2105,30.0,1809679.0,10965.0,165048500,475,33594.0,91,Asia
15,Saudi Arabia,329271,551.0,4458.0,28.0,309430.0,1078.0,15383.0,1166.0,9426,128.0,6009916.0,172050.0,34931142,106,7836.0,6,Asia
16,Iraq,315597,3907.0,8491.0,83.0,249539.0,4234.0,57567.0,536.0,7809,210.0,2039024.0,50452.0,40414796,128,4760.0,20,Asia
17,Pakistan,305031,645.0,6415.0,7.0,292044.0,361.0,6572.0,562.0,1375,29.0,3126380.0,14095.0,221812336,727,34577.0,71,Asia
18,Turkey,301348,1538.0,7445.0,68.0,266117.0,1312.0,27786.0,1432.0,3565,88.0,9173694.0,108516.0,84537372,281,11355.0,9,Asia
19,Italy,296569,1638.0,35692.0,24.0,217716.0,909.0,43161.0,215.0,4907,591.0,10349386.0,171229.0,60441922,204,1693.0,6,Europe
20,Philippines,283460,3962.0,4930.0,100.0,209885.0,1128.0,68645.0,1048.0,2579,45.0,3330409.0,30305.0,109898076,388,22292.0,33,Asia
21,Germany,272308,1064.0,9466.0,2.0,243500.0,500.0,19342.0,246.0,3248,113.0,14557136.0,173623.0,83843383,308,8857.0,6,Europe
22,Indonesia,240687,4168.0,9448.0,112.0,174350.0,3576.0,56889.0,0.0,878,34.0,2885895.0,10526.0,274155866,1139,29017.0,95,Asia
23,Israel,183602,4531.0,1226.0,30.0,132449.0,2425.0,49927.0,604.0,19962,133.0,3032739.0,329732.0,9197590,50,7502.0,3,Asia
24,Ukraine,172712,3240.0,3516.0,48.0,76754.0,1268.0,92442.0,177.0,3955,81.0,1985802.0,45468.0,43674438,253,12422.0,22,Europe
25,Canada,142774,863.0,9211.0,6.0,124187.0,464.0,9376.0,82.0,3776,244.0,6554147.0,173322.0,37814761,265,4105.0,6,North America
26,Bolivia,130051,632.0,7550.0,39.0,88457.0,741.0,34044.0,71.0,11108,645.0,285256.0,24365.0,11707604,90,1551.0,41,South America
27,Ecuador,125620,1491.0,11084.0,40.0,97063.0,0.0,17473.0,379.0,7097,626.0,384106.0,21700.0,17701050,141,1597.0,46,South America
28,Qatar,123146,229.0,209.0,0.0,120089.0,267.0,2848.0,58.0,43858,74.0,719057.0,256092.0,2807805,23,13434.0,4,Asia
29,Romania,111550,1333.0,4402.0,42.0,89119.0,884.0,18029.0,461.0,5807,229.0,2210071.0,115056.0,19208680,172,4364.0,9,Europe
30,Dominican Republic,107700,968.0,2044.0,10.0,80820.0,641.0,24836.0,210.0,9906,188.0,442354.0,40689.0,10871716,101,5319.0,25,North America
