,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6788147,36447.0,200197.0,1197.0,4068086.0,40260.0,2519864.0,14198.0,20482,604.0,93631958.0,282522.0,331415157,49,1655.0,4,North America
1,India,5018034,91120.0,82091.0,1283.0,3939111.0,82865.0,996832.0,8944.0,3629,59.0,58312273.0,42168.0,1382863649,276,16845.0,24,Asia
2,Brazil,4384299,34755.0,133207.0,1090.0,3671128.0,57944.0,579964.0,8318.0,20595,626.0,14505652.0,68140.0,212879694,49,1598.0,15,South America
3,Russia,1073849,5529.0,18785.0,150.0,884305.0,5605.0,170759.0,2300.0,7358,129.0,41122307.0,281760.0,145947910,136,7769.0,4,Europe
4,Peru,738020,4160.0,30927.0,115.0,580753.0,7389.0,126340.0,1460.0,22318,935.0,3567927.0,107897.0,33067784,45,1069.0,9,South America
5,Colombia,728590,6698.0,23288.0,165.0,607978.0,1053.0,97324.0,863.0,14287,457.0,3213298.0,63010.0,50996981,70,2190.0,16,South America
6,Mexico,671716,3335.0,71049.0,228.0,475795.0,4172.0,124872.0,2747.0,5198,550.0,1520463.0,11767.0,129217812,192,1819.0,85,North America
7,South Africa,651521,772.0,15641.0,142.0,583126.0,3837.0,52754.0,539.0,10956,263.0,3940217.0,66261.0,59465326,91,3802.0,15,Africa
8,Spain,603167,9437.0,30004.0,156.0,0.0,0.0,0.0,1157.0,12900,642.0,10756835.0,230050.0,46758670,78,1558.0,4,Europe
9,Argentina,577338,11892.0,11852.0,185.0,438883.0,9930.0,126603.0,3049.0,12749,262.0,1602403.0,35386.0,45283297,78,3821.0,28,South America
10,Chile,437983,1536.0,12040.0,27.0,409944.0,2219.0,15999.0,905.0,22870,629.0,2887903.0,150797.0,19150875,44,1591.0,7,South America
11,Iran,407353,2705.0,23453.0,140.0,349984.0,1971.0,33916.0,3811.0,4837,278.0,3613891.0,42911.0,84218051,207,3591.0,23,Asia
