,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5415666,55364.0,170415.0,1284.0,2843204.0,30601.0,2402047.0,17239.0,16350,514.0,68524602.0,206876.0,331235184,61,1944.0,5,North America
1,Brazil,3229621,59147.0,105564.0,1301.0,2356640.0,47163.0,767417.0,8318.0,15181,496.0,13464336.0,63290.0,212739546,66,2015.0,16,South America
2,India,2459613,64142.0,48144.0,1006.0,1750636.0,54776.0,660833.0,8944.0,1780,35.0,26845688.0,19431.0,1381604279,562,28697.0,51,Asia
3,Russia,907758,5057.0,15384.0,124.0,716396.0,6098.0,175978.0,2300.0,6220,105.0,31598302.0,216513.0,145942116,161,9487.0,5,Europe
4,South Africa,572865,3946.0,11270.0,260.0,437617.0,5588.0,123978.0,539.0,9645,190.0,3315497.0,55820.0,59395867,104,5270.0,18,Africa
5,Peru,507996,9441.0,25648.0,277.0,348006.0,6068.0,134342.0,1525.0,15382,777.0,2677014.0,81060.0,33025106,65,1288.0,12,South America
6,Mexico,498380,5858.0,54666.0,737.0,336635.0,3835.0,107079.0,3775.0,3861,423.0,1127115.0,8731.0,129092051,259,2361.0,115,North America
7,Colombia,433805,11286.0,14145.0,308.0,250494.0,10709.0,169166.0,1493.0,8515,278.0,2063332.0,40500.0,50946629,117,3602.0,25,South America
8,Chile,380034,1866.0,10299.0,94.0,353131.0,1712.0,16604.0,1259.0,19860,538.0,1932592.0,100994.0,19135648,50,1858.0,10,South America
9,Spain,355856,2935.0,28605.0,26.0,0.0,0.0,0.0,617.0,7611,612.0,7472031.0,159806.0,46756994,131,1635.0,6,Europe
10,Iran,336324,2625.0,19162.0,174.0,292058.0,1814.0,25104.0,3971.0,3998,228.0,2788027.0,33144.0,84118184,250,4390.0,30,Asia
11,UK,313798,0.0,41347.0,18.0,0.0,0.0,0.0,70.0,4620,609.0,18868566.0,277770.0,67928835,216,1643.0,4,Europe
12,Saudi Arabia,294519,1482.0,3303.0,34.0,260393.0,3124.0,30823.0,1805.0,8445,95.0,4071857.0,116751.0,34876295,118,10559.0,9,Asia
13,Pakistan,286674,753.0,6139.0,10.0,264060.0,867.0,16475.0,783.0,1295,28.0,2205664.0,9963.0,221378019,772,36061.0,100,Asia
14,Argentina,276072,7498.0,5362.0,149.0,192434.0,5151.0,78276.0,1682.0,6102,119.0,911596.0,20148.0,45244808,164,8438.0,50,South America
15,Bangladesh,269115,2617.0,3557.0,44.0,154871.0,1782.0,110687.0,0.0,1632,22.0,1315901.0,7981.0,164882758,613,46354.0,125,Asia
16,Italy,252235,522.0,35231.0,6.0,202923.0,226.0,14081.0,55.0,4173,583.0,7420764.0,122757.0,60450874,240,1716.0,8,Europe
17,Turkey,245635,1243.0,5912.0,21.0,228057.0,968.0,11666.0,647.0,2909,70.0,5521880.0,65390.0,84445678,344,14284.0,15,Asia
18,Germany,222269,1419.0,9281.0,5.0,200800.0,900.0,12188.0,224.0,2652,111.0,8586648.0,102446.0,83816370,377,9031.0,10,Europe
19,France,209365,2669.0,30388.0,17.0,83472.0,0.0,95505.0,379.0,3207,465.0,5500000.0,84238.0,65291060,312,2149.0,12,Europe
20,Iraq,164277,3841.0,5641.0,53.0,117208.0,2667.0,41428.0,592.0,4074,140.0,1224909.0,30377.0,40323330,245,7148.0,33,Asia
21,Philippines,147444,3920.0,2426.0,23.0,70367.0,1383.0,74651.0,389.0,1343,22.0,1939426.0,17671.0,109750617,744,45239.0,57,Asia
22,Indonesia,132816,2098.0,5968.0,65.0,87558.0,1760.0,39290.0,0.0,485,22.0,1809487.0,6607.0,273863649,2062,45889.0,151,Asia
23,Canada,121234,390.0,9015.0,9.0,107553.0,405.0,4666.0,2291.0,3209,239.0,4635105.0,122682.0,37781344,312,4191.0,8,North America
24,Qatar,114281,343.0,190.0,0.0,110957.0,330.0,3134.0,74.0,40701,68.0,538602.0,191823.0,2807805,25,14778.0,5,Asia
25,Kazakhstan,101372,517.0,1269.0,0.0,76756.0,2079.0,23347.0,221.0,5391,67.0,2252153.0,119777.0,18802961,185,14817.0,8,Asia
