,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5165337,15614,165260,190,2639954,1484,2360123,18015,15595,499,64785850,195604,331208717,64,2004,5,North America
1,Brazil,3018286,4917,100667,124,2094293,0,823326,8318,14189,473,13231548,62202,212718936,70,2113,16,South America
2,India,2212429,60409,44457,1004,1531849,52045,636123,8944,1602,32,24106535,17451,1381419077,624,31073,57,Asia
3,Russia,887536,5189,14931,77,693422,3215,179183,2300,6081,102,30640020,209948,145941264,164,9774,5,Europe
4,South Africa,553188,0,10210,0,404568,0,138410,539,9315,172,3220265,54226,59385652,107,5816,18,Africa
5,Mexico,475902,6495,52006,695,318638,5252,105258,3892,3687,403,1085897,8413,129073557,271,2482,119,North America
6,Peru,471012,0,20844,0,319171,0,130997,1474,14265,631,2548439,77181,33018829,70,1584,13,South America
7,Colombia,376870,0,12540,0,204591,0,159739,1493,7398,246,1877368,36855,50939224,135,4062,27,South America
8,Chile,371023,0,10011,0,344133,0,16879,1305,19391,523,1812895,94750,19133409,52,1911,11,South America
9,Spain,361442,0,28503,0,0,0,0,617,7730,610,7064329,151087,46756747,129,1640,7,Europe
10,Iran,326712,2020,18427,163,284371,2249,23914,4022,3885,219,2686498,31943,84103497,257,4564,31,Asia
11,UK,310825,1062,46574,8,0,0,0,67,4576,686,18349668,270150,67923973,219,1458,4,Europe
12,Saudi Arabia,288690,1428,3167,37,252039,1599,33484,1816,8279,91,3813274,109360,34868883,121,11010,9,Asia
13,Pakistan,284121,634,6082,14,260248,644,17791,791,1284,27,2127089,9611,221319328,779,36389,104,Asia
14,Bangladesh,257600,2487,3399,34,148370,1766,105831,0,1563,21,1260319,7645,164860360,640,48503,131,Asia
15,Italy,250566,463,35205,2,202098,151,13263,45,4145,582,7249844,119927,60452084,241,1717,8,Europe
16,Argentina,241811,0,4556,33,108242,0,129013,1502,5345,101,845220,18683,45239148,187,9930,54,South America
17,Turkey,239622,0,5829,0,222656,0,11137,587,2838,69,5202370,61615,84433287,352,14485,16,Asia
18,Germany,216911,15,9261,0,197400,0,10250,236,2588,110,8586648,102450,83812720,386,9050,10,Europe
19,France,197921,0,30324,0,82836,0,84761,383,3031,464,4183143,64071,65289093,330,2153,16,Europe
20,Iraq,150115,2726,5392,82,107775,2271,36948,551,3724,134,1145386,28414,40310969,269,7476,35,Asia
21,Philippines,129913,3028,2270,61,67673,556,59970,239,1184,21,1738268,15841,109730690,845,48340,63,Asia
22,Indonesia,125396,1893,5723,65,80952,1646,38721,0,458,21,1715798,6266,273824160,2184,47846,160,Asia
23,Canada,119404,183,8981,5,103715,149,6708,2281,3161,238,4404038,116580,37776828,316,4206,9,North America
24,Qatar,112947,297,184,2,109709,271,3054,80,40226,66,520360,185326,2807805,25,15260,5,Asia
25,Kazakhstan,98701,872,1058,0,72273,664,25370,221,5250,56,2183308,116134,18799894,190,17769,9,Asia
26,Egypt,95314,0,4992,0,51672,0,38650,41,930,49,135000,1317,102527088,1076,20538,759,Africa
27,Ecuador,93572,0,5916,0,71605,0,16051,369,5295,335,261829,14817,17670289,189,2987,67,South America
28,Bolivia,89055,1164,3587,63,28904,765,56564,71,7618,307,189172,16183,11689329,131,3259,62,South America
29,China,84619,23,4634,0,79168,45,817,43,59,3,90410000,62814,1439323776,17009,310601,16,Asia
30,Israel,82515,191,597,4,57483,412,24435,394,8971,65,1872453,203581,9197590,111,15406,5,Asia
31,Sweden,82323,0,5763,0,0,0,0,34,8146,570,863315,85426,10105940,123,1754,12,Europe
32,Oman,81580,223,513,4,74691,1210,6376,171,15936,100,309212,60403,5119158,63,9979,17,Asia
33,Ukraine,80949,1199,1897,18,43972,317,35080,143,1852,43,1169351,26756,43704430,540,23039,37,Europe
34,Dominican Republic,78778,0,1289,0,42538,0,34951,317,7254,119,290267,26730,10859242,138,8425,37,North America
35,Panama,73651,0,1609,0,47484,0,24558,161,17042,372,247212,57203,4321653,59,2686,17,North America
36,Belgium,73401,617,9870,4,17766,38,45765,69,6330,851,1819137,156890,11595014,158,1175,6,Europe
37,Kuwait,71713,514,478,4,63519,713,7716,115,16767,112,532353,124469,4277004,60,8948,8,Asia
38,Belarus,68850,112,587,2,64935,191,3328,0,7286,62,1372691,145274,9448984,137,16097,7,Europe
39,UAE,62525,225,357,1,56568,323,5600,0,6314,36,5500701,555473,9902732,158,27739,2,Asia
40,Romania,61768,1145,2700,41,30119,247,28949,458,3213,140,1378727,71722,19223326,311,7120,14,Europe
41,Netherlands,58564,577,6157,0,0,0,0,38,3417,359,1079860,63006,17138962,293,2784,16,Europe
42,Guatemala,56189,0,2197,0,44072,0,9920,5,3131,122,176400,9828,17948712,319,8170,102,North America
43,Singapore,55104,175,27,0,48915,332,6162,0,9411,5,1474372,251806,5855183,106,216859,4,Asia
44,Portugal,52668,131,1756,6,38511,147,12401,33,5167,172,1705474,167311,10193431,194,5805,6,Europe
45,Poland,51791,624,1807,7,36691,288,13293,73,1369,48,2199085,58112,37842076,731,20942,17,Europe
46,Honduras,46973,608,1476,11,6428,73,39069,35,4735,149,115059,11598,9920565,211,6721,86,North America
47,Nigeria,46140,0,942,0,33044,0,12154,7,223,5,310729,1504,206634303,4478,219357,665,Africa
48,Japan,45439,0,1039,0,31307,0,13093,140,359,8,986101,7799,126433752,2782,121688,128,Asia
49,Bahrain,43629,0,162,1,40549,0,2918,36,25559,95,892926,523098,1706994,39,10537,2,Asia
50,Ghana,41003,470,215,9,38330,628,2458,7,1317,7,409373,13147,31137035,759,144823,76,Africa
51,Armenia,40410,225,791,6,32520,125,7099,0,13634,267,176014,59387,2963841,73,3747,17,Asia
52,Kyrgyzstan,39919,332,1468,8,31822,374,6629,24,6108,225,267718,40966,6535067,164,4452,24,Asia
53,Afghanistan,37054,0,1312,0,25960,0,9782,31,950,34,92710,2376,39014249,1053,29736,421,Asia
54,Switzerland,36603,152,1986,0,32000,100,2617,21,4226,229,840409,97030,8661298,237,4361,10,Europe
55,Algeria,35160,467,1302,9,24506,423,9352,62,800,30,0,0,43930411,1249,33741,,Africa
56,Azerbaijan,33568,87,490,2,30364,308,2714,0,3308,48,785126,77362,10148742,302,20712,13,Asia
57,Morocco,32007,0,480,0,22190,0,9337,31,866,13,1427635,38631,36955749,1155,76991,26,Africa
58,Uzbekistan,30464,812,192,5,21813,807,8459,228,909,6,1377915,41109,33518679,1100,174576,24,Asia
59,Serbia,28099,236,641,9,14047,0,13411,106,3217,73,747324,85570,8733473,311,13625,12,Europe
60,Moldova,27660,217,845,4,19300,200,7515,362,6859,210,128076,31758,4032932,146,4773,31,Europe
61,Ireland,26644,0,1772,0,23364,0,1508,6,5390,358,662242,133962,4943501,186,2790,7,Europe
62,Kenya,25837,0,418,0,11899,0,13520,44,479,8,349307,6482,53887648,2086,128918,154,Africa
63,Venezuela,24961,0,215,0,13356,0,11390,66,878,8,1586205,55799,28427061,1139,132219,18,South America
64,Nepal,22972,380,75,2,16353,40,6544,0,787,3,756206,25907,29189354,1271,389191,39,Asia
65,Costa Rica,22802,0,228,0,7589,0,14985,80,4472,45,100050,19622,5098984,224,22364,51,North America
66,Ethiopia,22253,0,390,0,9707,0,12156,185,193,3,488936,4243,115239344,5179,295485,236,Africa
67,Austria,22033,114,721,0,19923,111,1389,22,2445,80,961868,106734,9011858,409,12499,9,Europe
68,Australia,21084,386,295,17,11561,0,9228,51,826,12,4857414,190259,25530480,1211,86544,5,Australia/Oceania
69,El Salvador,20423,445,549,13,9626,111,10248,514,3147,85,261130,40238,6489692,318,11821,25,North America
70,Czechia,18303,68,390,1,12776,12,5137,17,1709,36,748872,69915,10711128,585,27464,14,Europe
71,Cameroon,18042,0,395,0,15320,0,2327,30,678,15,149000,5599,26609810,1475,67367,179,Africa
72,Ivory Coast,16620,0,104,0,12893,0,3623,0,629,4,106753,4037,26441530,1591,254245,248,Africa
73,S. Korea,14598,36,305,1,13642,13,651,16,285,6,1624650,31686,51273973,3512,168111,32,Asia
74,Denmark,14442,0,617,0,12840,0,985,2,2492,106,1680226,289975,5794390,401,9391,3,Europe
75,Palestine,14205,277,96,0,7945,239,6164,0,2778,19,214862,42023,5112990,360,53260,24,Asia
76,Bosnia and Herzegovina,13687,0,394,0,7373,0,5920,0,4175,120,148090,45170,3278539,240,8321,22,Europe
77,Bulgaria,13343,0,445,0,7718,0,5180,55,1922,64,303536,43721,6942570,520,15601,23,Europe
78,Madagascar,13086,164,148,7,10816,212,2122,90,471,5,48498,1747,27759611,2121,187565,572,Africa
79,Sudan,11894,0,773,0,6243,0,4878,0,271,18,401,9,43949145,3695,56855,109599,Africa
80,North Macedonia,11839,85,527,4,7664,42,3648,3,5683,253,114807,55107,2083365,176,3953,18,Europe
81,Senegal,11175,172,232,3,7352,23,3591,43,666,14,116472,6939,16786296,1502,72355,144,Africa
82,Norway,9615,16,256,0,8857,0,502,2,1772,47,479789,88429,5425702,564,21194,11,Europe
83,DRC,9454,18,224,6,8324,49,906,0,105,2,0,0,89817129,9500,400969,,Africa
84,Malaysia,9083,13,125,0,8784,9,174,1,280,4,1036339,31977,32408638,3568,259269,31,Asia
85,French Guiana,8267,0,48,0,7501,0,718,19,27609,160,42582,142212,299427,36,6238,7,South America
86,Zambia,8085,182,235,32,6698,267,1152,0,439,13,93995,5099,18432953,2280,78438,196,Africa
