,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6924870,51345.0,203167.0,954.0,4190545.0,36855.0,2531158.0,14179.0,20894,613.0,96223461.0,290327.0,331431037,48,1631.0,3,North America
1,India,5305475,92789.0,85625.0,1221.0,4205201.0,95373.0,1014649.0,8944.0,3836,62.0,61572343.0,44522.0,1382974770,261,16152.0,22,Asia
2,Brazil,4497434,39991.0,135857.0,826.0,3789139.0,36057.0,572438.0,8318.0,21125,638.0,14617980.0,68664.0,212892060,47,1567.0,15,South America
3,Russia,1091186,5905.0,19195.0,134.0,901207.0,5339.0,170784.0,2300.0,7477,132.0,42000000.0,287773.0,145948421,134,7603.0,3,Europe
4,Peru,756412,6314.0,31283.0,137.0,600795.0,6282.0,124334.0,1449.0,22872,946.0,3640863.0,110090.0,33071550,44,1057.0,9,South America
5,Colombia,750471,6526.0,23850.0,185.0,621521.0,6064.0,105100.0,863.0,14715,468.0,3332152.0,65334.0,51001424,68,2138.0,15,South America
6,Mexico,684113,3182.0,72179.0,201.0,488416.0,3392.0,123518.0,2557.0,5294,559.0,1549643.0,11991.0,129228908,189,1790.0,83,North America
7,Spain,659334,4697.0,30495.0,90.0,0.0,0.0,0.0,1345.0,14101,652.0,10756835.0,230049.0,46758818,71,1533.0,4,Europe
8,South Africa,657627,2055.0,15857.0,85.0,586844.0,1541.0,54926.0,539.0,11058,267.0,4003590.0,67320.0,59471455,90,3750.0,15,Africa
9,Argentina,613658,11945.0,12656.0,196.0,467286.0,10939.0,133716.0,3225.0,13551,279.0,1682249.0,37147.0,45286693,74,3578.0,27,South America
10,Chile,442827,1677.0,12199.0,57.0,415981.0,2053.0,14647.0,902.0,23121,637.0,2975891.0,155381.0,19152218,43,1570.0,6,South America
11,France,428696,13215.0,31248.0,153.0,91574.0,734.0,305874.0,827.0,6564,478.0,10000000.0,153126.0,65305619,152,2090.0,7,Europe
12,Iran,416198,3049.0,23952.0,144.0,355505.0,1657.0,36741.0,3869.0,4941,284.0,3691399.0,43827.0,84226863,202,3516.0,23,Asia
13,UK,385936,4322.0,41732.0,27.0,0.0,0.0,0.0,127.0,5678,614.0,21368297.0,314402.0,67964812,176,1629.0,3,Europe
14,Bangladesh,345805,1541.0,4881.0,22.0,252335.0,1923.0,88589.0,0.0,2095,30.0,1796509.0,10885.0,165048500,477,33814.0,92,Asia
15,Saudi Arabia,328720,576.0,4430.0,31.0,308352.0,1145.0,15938.0,1189.0,9411,127.0,5966884.0,170818.0,34931142,106,7885.0,6,Asia
16,Iraq,311690,4305.0,8408.0,76.0,245305.0,4205.0,57977.0,536.0,7712,208.0,2021586.0,50021.0,40414796,130,4807.0,20,Asia
17,Pakistan,304386,752.0,6408.0,9.0,291683.0,514.0,6295.0,579.0,1372,29.0,3090660.0,13934.0,221812336,729,34615.0,72,Asia
18,Turkey,299810,1771.0,7377.0,62.0,264805.0,1060.0,27628.0,1402.0,3546,87.0,9076278.0,107364.0,84537372,282,11460.0,9,Asia
19,Italy,294931,1906.0,35668.0,10.0,216807.0,853.0,42456.0,208.0,4880,590.0,10246163.0,169521.0,60441922,205,1695.0,6,Europe
20,Philippines,279498,3229.0,4830.0,47.0,208757.0,700.0,65911.0,1048.0,2543,44.0,3293210.0,29966.0,109898076,393,22753.0,33,Asia
21,Germany,271244,2202.0,9464.0,7.0,243000.0,1700.0,18780.0,246.0,3235,113.0,14557136.0,173623.0,83843383,309,8859.0,6,Europe
22,Indonesia,236519,3891.0,9336.0,114.0,170774.0,4088.0,56409.0,0.0,863,34.0,2841352.0,10364.0,274155866,1159,29365.0,96,Asia
23,Israel,179071,3815.0,1196.0,27.0,130024.0,3695.0,47851.0,581.0,19469,130.0,2931763.0,318753.0,9197590,51,7690.0,3,Asia
24,Ukraine,169472,3228.0,3468.0,68.0,75486.0,1573.0,90518.0,177.0,3880,79.0,1985802.0,45468.0,43674438,258,12594.0,22,Europe
25,Canada,141911,1044.0,9205.0,5.0,123723.0,614.0,8983.0,82.0,3753,243.0,6489802.0,171621.0,37814761,266,4108.0,6,North America
26,Bolivia,129419,547.0,7511.0,33.0,87716.0,685.0,34192.0,71.0,11054,642.0,282838.0,24158.0,11707604,90,1559.0,41,South America
27,Ecuador,124129,1872.0,11044.0,15.0,97063.0,0.0,16022.0,381.0,7013,624.0,376406.0,21265.0,17701050,143,1603.0,47,South America
28,Qatar,122917,224.0,209.0,1.0,119822.0,209.0,2886.0,59.0,43777,74.0,714183.0,254356.0,2807805,23,13434.0,4,Asia
29,Romania,110217,1527.0,4360.0,48.0,88235.0,44991.0,17622.0,447.0,5738,227.0,2185923.0,113799.0,19208680,174,4406.0,9,Europe
30,Kazakhstan,107134,78.0,1671.0,0.0,101610.0,155.0,3853.0,221.0,5691,89.0,2733455.0,145198.0,18825661,176,11266.0,7,Asia
31,Dominican Republic,106732,596.0,2034.0,12.0,80179.0,816.0,24519.0,210.0,9817,187.0,422070.0,38823.0,10871716,102,5345.0,26,North America
32,Panama,104879,741.0,2229.0,16.0,79093.0,1212.0,23557.0,156.0,24225,515.0,423054.0,97715.0,4329453,41,1942.0,10,North America
33,Egypt,101772,131.0,5733.0,18.0,87958.0,800.0,8081.0,41.0,990,56.0,135000.0,1314.0,102748912,1010,17922.0,761,Africa
34,Kuwait,98528,704.0,580.0,5.0,88776.0,865.0,9172.0,101.0,22998,135.0,701484.0,163735.0,4284255,43,7387.0,6,Asia
35,Belgium,97976,2028.0,9936.0,1.0,18854.0,44.0,69186.0,74.0,8446,856.0,2768761.0,238670.0,11600789,118,1168.0,4,Europe
36,Morocco,97264,2760.0,1755.0,41.0,76690.0,1760.0,18819.0,264.0,2628,47.0,2342307.0,63295.0,37005940,380,21086.0,16,Africa
37,Oman,91753,0.0,818.0,0.0,84648.0,0.0,6287.0,180.0,17871,159.0,309212.0,60227.0,5134110,56,6276.0,17,Asia
38,Netherlands,90047,1974.0,6273.0,7.0,0.0,0.0,0.0,65.0,5253,366.0,2042887.0,119165.0,17143300,190,2733.0,8,Europe
39,Sweden,88237,0.0,5865.0,5.0,0.0,0.0,0.0,15.0,8725,580.0,1393161.0,137757.0,10113153,115,1724.0,7,Europe
40,China,85255,32.0,4634.0,0.0,80456.0,8.0,165.0,3.0,59,3.0,160000000.0,111163.0,1439323776,16883,310601.0,9,Asia
41,Guatemala,84344,680.0,3076.0,40.0,73748.0,488.0,7520.0,5.0,4689,171.0,286730.0,15941.0,17986797,213,5847.0,63,North America
42,UAE,83433,865.0,403.0,1.0,72790.0,673.0,10240.0,0.0,8414,41.0,8562443.0,863459.0,9916442,119,24607.0,1,Asia
43,Japan,77494,485.0,1482.0,9.0,69899.0,646.0,6113.0,170.0,613,12.0,1811516.0,14333.0,126389518,1631,85283.0,70,Asia
44,Poland,77328,757.0,2270.0,17.0,63312.0,587.0,11746.0,83.0,2044,60.0,3081867.0,81450.0,37837337,489,16668.0,12,Europe
45,Belarus,75230,243.0,773.0,2.0,73098.0,131.0,1359.0,0.0,7962,82.0,1700790.0,180004.0,9448629,126,12223.0,6,Europe
46,Honduras,70120,460.0,2122.0,20.0,20677.0,694.0,47321.0,20.0,7055,214.0,165904.0,16693.0,9938656,142,4684.0,60,North America
47,Ethiopia,67515,602.0,1072.0,12.0,27638.0,553.0,38805.0,289.0,584,9.0,1184473.0,10249.0,115567112,1712,107805.0,98,Africa
48,Portugal,67176,780.0,1894.0,6.0,45053.0,259.0,20229.0,57.0,6592,186.0,2345680.0,230194.0,10190035,152,5380.0,4,Europe
49,Venezuela,65174,890.0,530.0,10.0,54218.0,1654.0,10426.0,146.0,2293,19.0,1897741.0,66780.0,28417855,436,53619.0,15,South America
50,Bahrain,63879,690.0,220.0,3.0,56700.0,613.0,6959.0,43.0,37273,128.0,1313471.0,766400.0,1713820,27,7790.0,1,Asia
51,Costa Rica,62374,1556.0,686.0,20.0,23160.0,498.0,38528.0,245.0,12220,134.0,196377.0,38473.0,5104317,82,7441.0,26,North America
52,Nepal,61593,2020.0,390.0,7.0,43820.0,871.0,17383.0,0.0,2106,13.0,894373.0,30577.0,29249569,475,74999.0,33,Asia
53,Singapore,57543,11.0,27.0,0.0,57071.0,32.0,445.0,0.0,9819,5.0,2498073.0,426259.0,5860456,102,217054.0,2,Asia
