,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6335244,44507.0,191058.0,1094.0,3575096.0,28064.0,2569090.0,15042.0,19120,577.0,84881529.0,256172.0,331346344,52,1734.0,4,North America
1,Brazil,4046150,44728.0,124729.0,830.0,3247610.0,37205.0,673811.0,8318.0,19012,586.0,14408116.0,67699.0,212826108,53,1706.0,15,South America
2,India,3933124,84156.0,68569.0,1083.0,3034887.0,67491.0,829668.0,8944.0,2845,50.0,45509380.0,32921.0,1382382125,351,20160.0,30,Asia
3,Russia,1009995,4995.0,17528.0,114.0,826935.0,5766.0,165532.0,2300.0,6920,120.0,37484146.0,256836.0,145945695,145,8326.0,4,Europe
4,Peru,670145,6708.0,29405.0,146.0,489886.0,9709.0,150854.0,1506.0,20276,890.0,3286526.0,99437.0,33051466,49,1124.0,10,South America
5,Colombia,641574,8235.0,20618.0,270.0,489151.0,9583.0,131805.0,1493.0,12585,404.0,2844145.0,55792.0,50977729,79,2472.0,18,South America
6,South Africa,633015,2420.0,14563.0,174.0,554887.0,1431.0,63565.0,539.0,10650,245.0,3747101.0,63041.0,59438768,94,4081.0,16,Africa
7,Mexico,610957,4921.0,65816.0,575.0,424990.0,3617.0,120151.0,3191.0,4730,510.0,1376170.0,10654.0,129169727,211,1963.0,94,North America
8,Spain,488513,8959.0,29234.0,40.0,0.0,0.0,0.0,930.0,10448,625.0,9210337.0,196979.0,46758029,96,1599.0,5,Europe
9,Argentina,451198,12026.0,9361.0,243.0,322461.0,6931.0,119376.0,2394.0,9967,207.0,1324687.0,29263.0,45268581,100,4836.0,34,South America
10,Chile,416501,1762.0,11422.0,78.0,389409.0,1726.0,15670.0,940.0,21755,597.0,2508750.0,131039.0,19145053,46,1676.0,8,South America
11,Iran,380746,1994.0,21926.0,129.0,328595.0,1794.0,30225.0,3702.0,4523,260.0,3307383.0,39289.0,84179866,221,3839.0,25,Asia
12,UK,340411,1735.0,41527.0,13.0,0.0,0.0,0.0,80.0,5010,611.0,17619897.0,259310.0,67949254,200,1636.0,4,Europe
13,Bangladesh,319686,2158.0,4383.0,32.0,213980.0,2964.0,101323.0,0.0,1938,27.0,1592038.0,9650.0,164976828,516,37640.0,104,Asia
14,Saudi Arabia,318319,833.0,3982.0,26.0,293964.0,1454.0,20373.0,1495.0,9119,114.0,5261814.0,150736.0,34907425,110,8766.0,7,Asia
