,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,7004768,33344.0,204118.0,294.0,4250140.0,26447.0,2550510.0,14020.0,21135,616.0,98166609.0,296185.0,331436330,47,1624.0,3,North America
1,India,5485612,87382.0,87909.0,1135.0,4392650.0,92926.0,1005053.0,8944.0,3966,64.0,63661060.0,46031.0,1383011810,252,15732.0,22,Asia
2,Brazil,4544629,16282.0,136895.0,330.0,3851227.0,31132.0,556507.0,8318.0,21347,643.0,15011116.0,70509.0,212896182,47,1555.0,14,South America
3,Russia,1103399,6148.0,19418.0,79.0,909357.0,2895.0,174624.0,2300.0,7560,133.0,42821891.0,293404.0,145948591,132,7516.0,3,Europe
4,Peru,768895,6030.0,31369.0,0.0,615255.0,7418.0,122271.0,1425.0,23249,948.0,3693813.0,111687.0,33072805,43,1054.0,9,South America
5,Colombia,765076,6678.0,24208.0,169.0,633199.0,5514.0,107669.0,863.0,15001,475.0,3393562.0,66537.0,51002905,67,2107.0,15,South America
6,Mexico,694121,5167.0,73258.0,455.0,496224.0,4032.0,124639.0,2692.0,5371,567.0,1580377.0,12229.0,129232607,186,1764.0,82,North America
7,South Africa,661211,1555.0,15953.0,13.0,590071.0,637.0,55187.0,539.0,11118,268.0,4041453.0,67954.0,59473498,90,3728.0,15,Africa
8,Spain,659334,0.0,30495.0,0.0,0.0,0.0,0.0,1345.0,14101,652.0,10756835.0,230049.0,46758867,71,1533.0,4,Europe
9,Argentina,631365,8431.0,13053.0,254.0,488231.0,10154.0,130081.0,3261.0,13941,288.0,1729040.0,38179.0,45287825,72,3470.0,26,South America
10,France,452763,10569.0,31285.0,11.0,91574.0,0.0,329904.0,827.0,6933,479.0,10000000.0,153125.0,65306013,144,2087.0,7,Europe
11,Chile,446274,1600.0,12286.0,32.0,419746.0,1645.0,14242.0,901.0,23301,641.0,3038333.0,158638.0,19152666,43,1559.0,6,South America
12,Iran,422140,3097.0,24301.0,183.0,359570.0,1938.0,38269.0,3898.0,5012,289.0,3746629.0,44481.0,84229800,200,3466.0,22,Asia
13,UK,394257,3899.0,41777.0,18.0,0.0,0.0,0.0,138.0,5801,615.0,21368297.0,314398.0,67965784,172,1627.0,3,Europe
14,Bangladesh,348916,1542.0,4939.0,26.0,256565.0,2179.0,87412.0,0.0,2114,30.0,1821270.0,11034.0,165052979,473,33418.0,91,Asia
15,Saudi Arabia,329754,483.0,4485.0,27.0,310439.0,1009.0,14830.0,1138.0,9440,128.0,6049949.0,173189.0,34932625,106,7789.0,6,Asia
