,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6874596,46295.0,202213.0,879.0,4155039.0,35881.0,2517344.0,14227.0,20743,610.0,95235022.0,287354.0,331420450,48,1639.0,3,North America
1,India,5212686,96793.0,84404.0,1174.0,4109828.0,87779.0,1018454.0,8944.0,3769,61.0,60565728.0,43796.0,1382900689,265,16384.0,23,Asia
2,Brazil,4457443,35757.0,135031.0,857.0,3753082.0,32770.0,569330.0,8318.0,20938,634.0,14617980.0,68666.0,212883816,48,1577.0,15,South America
3,Russia,1085281,5762.0,19061.0,144.0,895868.0,5754.0,170352.0,2300.0,7436,131.0,41748928.0,286053.0,145948080,134,7657.0,3,Europe
4,Peru,750098,5698.0,31146.0,95.0,594513.0,6796.0,124439.0,1439.0,22683,942.0,3614738.0,109309.0,33069039,44,1062.0,9,South America
5,Colombia,743945,7568.0,23665.0,187.0,615457.0,5379.0,104823.0,863.0,14588,464.0,3298415.0,64677.0,50998462,69,2155.0,15,South America
6,Mexico,680931,4444.0,71978.0,300.0,485024.0,3956.0,123929.0,2747.0,5269,557.0,1545572.0,11961.0,129221511,190,1795.0,84,North America
7,South Africa,655572,2128.0,15772.0,67.0,585303.0,1108.0,54497.0,539.0,11024,265.0,3983533.0,66987.0,59467369,91,3770.0,15,Africa
8,Spain,625651,11291.0,30405.0,162.0,0.0,0.0,0.0,1331.0,13380,650.0,10756835.0,230050.0,46758719,75,1538.0,4,Europe
9,Argentina,601713,12701.0,12460.0,344.0,456347.0,8084.0,132906.0,3108.0,13287,275.0,1653616.0,36516.0,45284429,75,3634.0,27,South America
10,Chile,441150,1863.0,12142.0,84.0,413928.0,2075.0,15080.0,895.0,23035,634.0,2942651.0,153653.0,19151322,43,1577.0,7,South America
11,France,415481,10593.0,31095.0,50.0,90840.0,505.0,293546.0,800.0,6362,476.0,10000000.0,153128.0,65304832,157,2100.0,7,Europe
12,Iran,413149,2815.0,23808.0,176.0,353848.0,1829.0,35493.0,3848.0,4906,283.0,3667551.0,43547.0,84220988,204,3538.0,23,Asia
13,UK,381614,3395.0,41705.0,21.0,0.0,0.0,0.0,124.0,5615,614.0,20521243.0,301948.0,67962867,178,1630.0,3,Europe
14,Bangladesh,344264,1593.0,4859.0,36.0,250412.0,2443.0,88993.0,0.0,2086,29.0,1783779.0,10808.0,165039541,479,33966.0,93,Asia
15,Saudi Arabia,328144,593.0,4399.0,30.0,307207.0,1203.0,16538.0,1180.0,9395,126.0,5917184.0,169410.0,34928178,106,7940.0,6,Asia
16,Iraq,307385,4326.0,8332.0,84.0,241100.0,3859.0,57953.0,586.0,7607,206.0,1998295.0,49451.0,40409852,131,4850.0,20,Asia
17,Pakistan,303634,545.0,6399.0,6.0,291169.0,409.0,6066.0,593.0,1369,29.0,3056795.0,13782.0,221788860,730,34660.0,73,Asia
18,Turkey,298039,1648.0,7315.0,66.0,263745.0,1143.0,26979.0,1372.0,3526,87.0,8965165.0,106056.0,84532416,284,11556.0,9,Asia
19,Italy,293025,1585.0,35658.0,13.0,215954.0,689.0,41413.0,212.0,4848,590.0,10146324.0,167868.0,60442405,206,1695.0,6,Europe
20,Philippines,276269,3355.0,4783.0,51.0,208057.0,278.0,63429.0,1048.0,2514,44.0,3234856.0,29437.0,109890105,398,22975.0,34,Asia
21,Germany,269042,2177.0,9457.0,8.0,241300.0,2200.0,18285.0,237.0,3209,113.0,14557136.0,173626.0,83841923,312,8866.0,6,Europe
22,Indonesia,232628,3635.0,9222.0,122.0,166686.0,2585.0,56720.0,0.0,849,34.0,2796924.0,10203.0,274140070,1178,29727.0,98,Asia
23,Israel,175256,4791.0,1169.0,8.0,126329.0,3110.0,47758.0,573.0,19055,127.0,2931763.0,318753.0,9197590,52,7868.0,3,Asia
24,Ukraine,166244,3584.0,3400.0,60.0,73913.0,1589.0,88931.0,177.0,3806,78.0,1925482.0,44086.0,43675866,263,12846.0,23,Europe
25,Canada,140867,1120.0,9200.0,7.0,123109.0,660.0,8558.0,76.0,3725,243.0,6422063.0,169838.0,37812954,268,4110.0,6,North America
26,Bolivia,128872,586.0,7478.0,31.0,87031.0,815.0,34363.0,71.0,11008,639.0,280523.0,23963.0,11706734,91,1565.0,42,South America
27,Qatar,122693,244.0,208.0,0.0,119613.0,213.0,2872.0,58.0,43697,74.0,709132.0,252557.0,2807805,23,13499.0,4,Asia
28,Ecuador,122257,732.0,11029.0,33.0,97063.0,0.0,14165.0,375.0,6907,623.0,370864.0,20953.0,17699585,145,1605.0,48,South America
29,Romania,108690,1679.0,4312.0,27.0,43244.0,0.0,61134.0,460.0,5658,224.0,2160669.0,112480.0,19209377,177,4455.0,9,Europe
30,Kazakhstan,107056,72.0,1671.0,0.0,101455.0,188.0,3930.0,221.0,5687,89.0,2733455.0,145208.0,18824434,176,11265.0,7,Asia
31,Dominican Republic,106136,615.0,2022.0,13.0,79363.0,472.0,24751.0,210.0,9763,186.0,422070.0,38825.0,10871122,102,5376.0,26,North America
32,Panama,104138,672.0,2213.0,15.0,77881.0,1094.0,24044.0,152.0,24055,511.0,417620.0,96468.0,4329082,42,1956.0,10,North America
33,Egypt,101641,141.0,5715.0,19.0,87158.0,609.0,8768.0,41.0,989,56.0,135000.0,1314.0,102738349,1011,17977.0,761,Africa
34,Kuwait,97824,825.0,575.0,4.0,87911.0,724.0,9338.0,94.0,22835,134.0,695556.0,162365.0,4283910,44,7450.0,6,Asia
35,Belgium,95948,1153.0,9935.0,5.0,18810.0,21.0,67203.0,74.0,8271,856.0,2711919.0,233776.0,11600514,121,1168.0,4,Europe
36,Morocco,94504,2488.0,1714.0,28.0,74930.0,1962.0,17860.0,261.0,2554,46.0,2295811.0,62043.0,37003550,392,21589.0,16,Africa
37,Oman,91753,557.0,818.0,13.0,84648.0,285.0,6287.0,180.0,17874,159.0,309212.0,60235.0,5133398,56,6276.0,17,Asia
38,Netherlands,88073,1753.0,6266.0,6.0,0.0,0.0,0.0,66.0,5138,366.0,2042887.0,119167.0,17143094,195,2736.0,8,Europe
39,Sweden,87885,0.0,5864.0,5.0,0.0,0.0,0.0,15.0,8690,580.0,1393161.0,137762.0,10112810,115,1725.0,7,Europe
40,China,85223,9.0,4634.0,0.0,80448.0,11.0,141.0,2.0,59,3.0,160000000.0,111163.0,1439323776,16889,310601.0,9,Asia
41,Guatemala,83664,740.0,3036.0,27.0,73260.0,698.0,7368.0,5.0,4652,169.0,283578.0,15767.0,17984983,215,5924.0,63,North America
42,UAE,82568,786.0,402.0,0.0,72117.0,661.0,10049.0,0.0,8327,41.0,8464974.0,853686.0,9915789,120,24666.0,1,Asia
43,Japan,77009,561.0,1473.0,12.0,69253.0,721.0,6283.0,167.0,609,12.0,1786342.0,14133.0,126391624,1641,85806.0,71,Asia
44,Poland,76571,837.0,2253.0,16.0,62725.0,615.0,11593.0,84.0,2024,60.0,3060844.0,80894.0,37837563,494,16794.0,12,Europe
45,Belarus,74987,224.0,771.0,4.0,72967.0,157.0,1249.0,0.0,7936,82.0,1686218.0,178461.0,9448646,126,12255.0,6,Europe
46,Honduras,69660,1040.0,2102.0,15.0,19983.0,1496.0,47575.0,26.0,7010,212.0,161483.0,16249.0,9937794,143,4728.0,62,North America
47,Ethiopia,66913,689.0,1060.0,15.0,27085.0,420.0,38768.0,300.0,579,9.0,1176252.0,10179.0,115551504,1727,109011.0,98,Africa
48,Portugal,66396,770.0,1888.0,10.0,44794.0,266.0,19714.0,59.0,6516,185.0,2345680.0,230190.0,10190196,153,5397.0,4,Europe
49,Venezuela,64284,868.0,520.0,9.0,52564.0,1290.0,11200.0,146.0,2262,18.0,1864663.0,65615.0,28418294,442,54651.0,15,South America
50,Bahrain,63189,705.0,217.0,1.0,56087.0,643.0,6885.0,40.0,36877,127.0,1301170.0,759366.0,1713495,27,7896.0,1,Asia
51,Costa Rica,60818,1302.0,666.0,17.0,22662.0,910.0,37490.0,245.0,11916,130.0,190570.0,37337.0,5104063,84,7664.0,27,North America
52,Nepal,59573,1246.0,383.0,4.0,42949.0,1243.0,16241.0,0.0,2037,13.0,882915.0,30189.0,29246701,491,76362.0,33,Asia
53,Singapore,57532,18.0,27.0,0.0,57039.0,84.0,466.0,0.0,9817,5.0,2498073.0,426277.0,5860205,102,217045.0,2,Asia
54,Nigeria,56735,131.0,1093.0,2.0,48092.0,220.0,7550.0,7.0,274,5.0,482321.0,2328.0,207194373,3652,189565.0,430,Africa
55,Uzbekistan,49627,612.0,413.0,6.0,45970.0,548.0,3244.0,243.0,1478,12.0,1377915.0,41044.0,33571712,676,81287.0,24,Asia
56,Algeria,49194,228.0,1654.0,9.0,34675.0,158.0,12865.0,31.0,1118,38.0,0.0,0.0,44017064,895,26612.0,,Africa
57,Switzerland,48795,530.0,2042.0,3.0,39900.0,0.0,6853.0,27.0,5629,236.0,1237621.0,142777.0,8668205,178,4245.0,7,Europe
58,Armenia,46671,295.0,925.0,2.0,42231.0,162.0,3515.0,0.0,15744,312.0,252158.0,85061.0,2964445,64,3205.0,12,Asia
59,Ghana,45714,59.0,294.0,0.0,44896.0,99.0,524.0,5.0,1465,9.0,457092.0,14647.0,31208065,683,106150.0,68,Africa
60,Kyrgyzstan,45153,81.0,1063.0,0.0,41317.0,107.0,2773.0,24.0,6897,162.0,267718.0,40893.0,6546842,145,6159.0,24,Asia
61,Moldova,44983,622.0,1170.0,11.0,33239.0,507.0,10574.0,549.0,11157,290.0,246764.0,61203.0,4031912,90,3446.0,16,Europe
62,Czechia,44155,3123.0,489.0,7.0,23377.0,446.0,20289.0,91.0,4122,46.0,1123221.0,104844.0,10713292,243,21909.0,10,Europe
63,Afghanistan,38872,17.0,1436.0,0.0,32505.0,2.0,4931.0,93.0,994,37.0,107858.0,2758.0,39110298,1006,27236.0,363,Asia
64,Azerbaijan,38777,119.0,571.0,2.0,36289.0,140.0,1917.0,0.0,3817,56.0,1035286.0,101911.0,10158720,262,17791.0,10,Asia
65,Kenya,36576,183.0,642.0,5.0,23611.0,82.0,12323.0,44.0,677,12.0,504988.0,9349.0,54017393,1477,84139.0,107,Africa
66,Austria,35853,780.0,758.0,0.0,28044.0,389.0,7051.0,55.0,3976,84.0,1395111.0,154712.0,9017463,252,11896.0,6,Europe
67,Palestine,33843,837.0,244.0,1.0,23060.0,851.0,10539.0,0.0,6602,48.0,359873.0,70206.0,5125985,151,21008.0,14,Asia
68,Serbia,32695,82.0,738.0,2.0,31512.0,101.0,445.0,21.0,3745,85.0,1056256.0,120996.0,8729645,267,11829.0,8,Europe
69,Ireland,32023,224.0,1789.0,1.0,23364.0,0.0,6870.0,14.0,6470,361.0,1001647.0,202372.0,4949527,155,2767.0,5,Europe
70,Paraguay,31113,694.0,584.0,18.0,16313.0,573.0,14216.0,137.0,4351,82.0,241837.0,33818.0,7151143,230,12245.0,30,South America
71,El Salvador,27249,86.0,801.0,5.0,20392.0,432.0,6056.0,94.0,4197,123.0,357309.0,55028.0,6493262,238,8106.0,18,North America
72,Australia,26813,34.0,832.0,8.0,23792.0,66.0,2189.0,16.0,1049,33.0,7173728.0,280631.0,25562804,953,30725.0,4,Australia/Oceania
73,Lebanon,26768,685.0,263.0,4.0,10217.0,583.0,16288.0,128.0,3926,39.0,689210.0,101076.0,6818729,255,25927.0,10,Asia
74,Libya,25822,886.0,409.0,15.0,13908.0,410.0,11505.0,0.0,3747,59.0,173161.0,25128.0,6891077,267,16849.0,40,Africa
75,Bosnia and Herzegovina,24605,394.0,747.0,11.0,17219.0,229.0,6639.0,0.0,7510,228.0,215696.0,65835.0,3276320,133,4386.0,15,Europe
76,S. Korea,22657,153.0,372.0,5.0,19543.0,233.0,2742.0,160.0,442,7.0,2191892.0,42745.0,51278779,2263,137846.0,23,Asia
77,Denmark,21393,453.0,635.0,1.0,16918.0,161.0,3840.0,3.0,3691,110.0,3191967.0,550661.0,5796614,271,9129.0,2,Europe
78,Cameroon,20303,0.0,415.0,0.0,18837.0,0.0,1051.0,30.0,761,16.0,149000.0,5584.0,26682247,1314,64295.0,179,Africa
79,Ivory Coast,19158,26.0,120.0,0.0,18330.0,41.0,708.0,0.0,723,5.0,147565.0,5566.0,26513133,1384,220943.0,180,Africa
80,Bulgaria,18544,154.0,749.0,10.0,13391.0,150.0,4404.0,37.0,2673,108.0,482823.0,69602.0,6936886,374,9262.0,14,Europe
81,North Macedonia,16274,186.0,675.0,7.0,13635.0,85.0,1964.0,3.0,7811,324.0,171155.0,82154.0,2083355,128,3086.0,12,Europe
82,Madagascar,15925,54.0,216.0,1.0,14547.0,65.0,1162.0,25.0,572,8.0,66036.0,2372.0,27837665,1748,128878.0,422,Africa
83,Hungary,15170,710.0,663.0,9.0,4227.0,74.0,10280.0,21.0,1571,69.0,580072.0,60080.0,9654982,636,14563.0,17,Europe
84,Senegal,14618,50.0,300.0,1.0,10923.0,167.0,3395.0,31.0,868,18.0,162811.0,9671.0,16834684,1152,56116.0,103,Africa
85,Greece,14400,359.0,325.0,9.0,3804.0,0.0,10271.0,69.0,1383,31.0,1170292.0,112400.0,10411859,723,32036.0,9,Europe
86,Croatia,14279,250.0,238.0,2.0,11933.0,243.0,2108.0,24.0,3483,58.0,242886.0,59245.0,4099687,287,17226.0,17,Europe
87,Zambia,13928,41.0,326.0,0.0,13029.0,160.0,573.0,0.0,753,18.0,135021.0,7303.0,18489439,1328,56716.0,137,Africa
88,Sudan,13535,0.0,836.0,0.0,6759.0,0.0,5940.0,0.0,307,19.0,0.0,0.0,44061334,3255,52705.0,,Africa
89,Norway,12644,146.0,266.0,1.0,10371.0,0.0,2007.0,2.0,2328,49.0,928024.0,170896.0,5430329,429,20415.0,6,Europe
90,Albania,11948,132.0,347.0,4.0,6788.0,55.0,4813.0,18.0,4153,121.0,72818.0,25309.0,2877111,241,8291.0,40,Europe
91,DRC,10442,28.0,267.0,0.0,9840.0,13.0,335.0,0.0,116,3.0,0.0,0.0,90116049,8630,337513.0,,Africa
92,Guinea,10154,0.0,63.0,0.0,9612.0,0.0,479.0,24.0,769,5.0,29031.0,2198.0,13205931,1301,209618.0,455,Africa
93,Namibia,10078,114.0,108.0,0.0,7685.0,183.0,2285.0,16.0,3951,42.0,84688.0,33204.0,2550552,253,23616.0,30,Africa
