,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5476266,60600.0,171535.0,1120.0,2875147.0,32106.0,2429584.0,17217.0,16533,518.0,69362009.0,209401.0,331240477,60,1931.0,5,North America
1,Brazil,3278895,49274.0,106571.0,1007.0,2384302.0,27662.0,788022.0,8318.0,15412,501.0,13464336.0,63289.0,212743668,65,1996.0,16,South America
2,India,2525222,65609.0,49134.0,990.0,1807556.0,56920.0,668532.0,8944.0,1828,36.0,27694416.0,20045.0,1381641319,547,28120.0,50,Asia
3,Russia,912823,5065.0,15498.0,114.0,722964.0,6568.0,174361.0,2300.0,6255,106.0,31903055.0,218600.0,145942287,160,9417.0,5,Europe
4,South Africa,579140,6275.0,11556.0,286.0,461734.0,24117.0,105850.0,539.0,9750,195.0,3351111.0,56418.0,59397910,103,5140.0,18,Africa
5,Peru,516296,8300.0,25856.0,208.0,354232.0,6226.0,136208.0,1553.0,15633,783.0,2705122.0,81908.0,33026361,64,1277.0,12,South America
6,Mexico,505751,7371.0,55293.0,627.0,341507.0,4872.0,108951.0,3675.0,3918,428.0,1142045.0,8846.0,129095750,255,2335.0,113,North America
7,Colombia,445111,11306.0,14492.0,347.0,261296.0,10802.0,169323.0,1493.0,8737,284.0,2104766.0,41312.0,50948110,114,3516.0,24,South America
8,Chile,382111,2077.0,10340.0,41.0,355037.0,1906.0,16734.0,1252.0,19968,540.0,1960210.0,102435.0,19136096,50,1851.0,10,South America
9,Spain,358843,2987.0,28617.0,12.0,0.0,0.0,0.0,617.0,7675,612.0,7472031.0,159805.0,46757043,130,1634.0,6,Europe
10,Iran,338825,2501.0,19331.0,169.0,293811.0,1753.0,25683.0,3956.0,4028,230.0,2812488.0,33434.0,84121121,248,4352.0,30,Asia
11,UK,316367,1440.0,41358.0,11.0,0.0,0.0,0.0,80.0,4657,609.0,14142736.0,208196.0,67929807,215,1642.0,5,Europe
12,Saudi Arabia,295902,1383.0,3338.0,35.0,262959.0,2566.0,29605.0,1782.0,8484,96.0,4071857.0,116746.0,34877777,118,10449.0,9,Asia
