,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5796727,50455.0,179200.0,1170.0,3127418.0,31934.0,2490109.0,16801.0,17498,541.0,74718580.0,225547.0,331277530,57,1849.0,4,North America
1,Brazil,3536488,31391.0,113454.0,1031.0,2670755.0,17348.0,752279.0,8318.0,16621,533.0,14144344.0,66476.0,212772522,60,1875.0,15,South America
2,India,2973368,69039.0,55928.0,953.0,2220799.0,62858.0,696641.0,8944.0,2152,40.0,33467237.0,24218.0,1381900601,465,24709.0,41,Asia
3,Russia,946976,4870.0,16189.0,90.0,761330.0,5817.0,169457.0,2300.0,6489,111.0,33800000.0,231597.0,145943480,154,9015.0,4,Europe
4,South Africa,603338,3398.0,12843.0,225.0,500102.0,2933.0,90393.0,539.0,10155,216.0,3504507.0,58986.0,59412210,98,4626.0,17,Africa
5,Peru,576067,9008.0,27245.0,211.0,384908.0,4178.0,163914.0,1530.0,17438,825.0,2915372.0,88251.0,33035148,57,1213.0,11,South America
6,Mexico,543806,6775.0,59106.0,625.0,371638.0,4101.0,113062.0,3503.0,4212,458.0,1226117.0,9496.0,129121642,237,2185.0,105,North America
7,Colombia,522138,8419.0,16568.0,385.0,348940.0,9816.0,156630.0,1493.0,10246,325.0,2409706.0,47288.0,50958476,98,3076.0,21,South America
8,Spain,407879,3650.0,28838.0,25.0,0.0,0.0,0.0,541.0,8723,617.0,7955615.0,170147.0,46757388,115,1621.0,6,Europe
9,Chile,393769,1920.0,10723.0,52.0,367897.0,1834.0,15149.0,1072.0,20574,560.0,2142301.0,111932.0,19139231,49,1785.0,9,South America
10,Iran,354764,2206.0,20376.0,112.0,305866.0,1630.0,28522.0,3794.0,4216,242.0,2987117.0,35501.0,84141682,237,4129.0,28,Asia
11,Argentina,329043,8159.0,6730.0,213.0,239806.0,6155.0,82507.0,1853.0,7271,149.0,1052687.0,23262.0,45253865,138,6724.0,43,South America
12,UK,323313,1033.0,41405.0,2.0,0.0,0.0,0.0,76.0,4759,609.0,15177265.0,223403.0,67936614,210,1641.0,4,Europe
13,Saudi Arabia,305186,1213.0,3580.0,32.0,277067.0,1591.0,24539.0,1675.0,8748,103.0,4501104.0,129015.0,34888154,114,9745.0,8,Asia
14,Pakistan,291588,630.0,6219.0,10.0,273579.0,775.0,11790.0,722.0,1317,28.0,2389365.0,10789.0,221471926,760,35612.0,93,Asia
15,Bangladesh,290360,2401.0,3861.0,39.0,172615.0,3624.0,113884.0,0.0,1761,23.0,1420449.0,8613.0,164918594,568,42714.0,116,Asia
16,Italy,257065,947.0,35427.0,9.0,204960.0,274.0,16678.0,69.0,4253,586.0,7862592.0,130070.0,60448938,235,1706.0,8,Europe
17,Turkey,255723,1203.0,6080.0,22.0,235569.0,772.0,14074.0,749.0,3028,72.0,6154157.0,72860.0,84465504,330,13892.0,14,Asia
18,France,234400,4586.0,30503.0,23.0,84829.0,764.0,119068.0,379.0,3590,467.0,6000000.0,91892.0,65294208,279,2141.0,11,Europe
19,Germany,233021,1737.0,9328.0,4.0,205800.0,1000.0,17893.0,236.0,2780,111.0,10197366.0,121655.0,83822211,360,8986.0,8,Europe
20,Iraq,197085,4288.0,6283.0,75.0,140446.0,3246.0,50356.0,587.0,4885,156.0,1393488.0,34541.0,40343106,205,6421.0,29,Asia
21,Philippines,182365,4786.0,2940.0,59.0,114519.0,616.0,64906.0,717.0,1661,27.0,2238793.0,20393.0,109782500,602,37341.0,49,Asia
