,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5305957,54519.0,167745.0,1504.0,2755348.0,39414.0,2382864.0,17339.0,16019,506.0,66942357.0,202102.0,331229890,62,1975.0,5,North America
1,Brazil,3112393,54923.0,103099.0,1242.0,2243124.0,79312.0,766170.0,8318.0,14630,485.0,13231548.0,62197.0,212735424,68,2063.0,16,South America
2,India,2328405,61252.0,46188.0,835.0,1638101.0,56461.0,644116.0,8944.0,1685,33.0,25281848.0,18299.0,1381567238,593,29912.0,55,Asia
3,Russia,897599,4945.0,15131.0,130.0,703175.0,6494.0,179293.0,2300.0,6150,104.0,31000000.0,212413.0,145941946,163,9645.0,5,Europe
4,South Africa,566109,2511.0,10751.0,130.0,426125.0,8925.0,129233.0,539.0,9531,181.0,3278977.0,55207.0,59393824,105,5524.0,18,Africa
5,Peru,489680,6547.0,21501.0,225.0,335756.0,6352.0,132423.0,1496.0,14828,651.0,2612599.0,79112.0,33023850,67,1536.0,13,South America
6,Mexico,485836,5558.0,53003.0,705.0,327993.0,5528.0,104840.0,3683.0,3764,411.0,1097077.0,8499.0,129088353,266,2435.0,118,North America
7,Colombia,410453,12830.0,13475.0,321.0,230427.0,8942.0,166551.0,1493.0,8057,265.0,1982831.0,38921.0,50945148,124,3781.0,26,South America
8,Chile,376616,1572.0,10178.0,39.0,349541.0,2199.0,16897.0,1268.0,19682,532.0,1889616.0,98751.0,19135201,51,1880.0,10,South America
9,Spain,373692,3632.0,28579.0,3.0,0.0,0.0,0.0,617.0,7992,611.0,7472031.0,159806.0,46756944,125,1636.0,6,Europe
10,Iran,331189,2345.0,18800.0,184.0,288620.0,1978.0,23769.0,3983.0,3937,224.0,2736514.0,32533.0,84115247,254,4474.0,31,Asia
11,UK,312789,1148.0,41309.0,14.0,0.0,0.0,0.0,67.0,4605,608.0,18868566.0,277774.0,67927863,217,1644.0,4,Europe
12,Saudi Arabia,291468,1521.0,3233.0,34.0,255118.0,1640.0,33117.0,1821.0,8358,93.0,3933427.0,112787.0,34874813,120,10787.0,9,Asia
13,Pakistan,285191,531.0,6112.0,15.0,261246.0,482.0,17833.0,780.0,1288,28.0,2165811.0,9784.0,221366281,776,36218.0,102,Asia
14,Bangladesh,263503,2996.0,3471.0,33.0,151972.0,1535.0,108060.0,0.0,1598,21.0,1287988.0,7812.0,164878278,626,47502.0,128,Asia
15,Argentina,260911,7043.0,5004.0,240.0,181389.0,6415.0,74518.0,1585.0,5767,111.0,872643.0,19288.0,45243676,173,9042.0,52,South America
16,Italy,251237,412.0,35215.0,6.0,202461.0,213.0,13561.0,49.0,4156,583.0,7316918.0,121039.0,60451116,241,1717.0,8,Europe
17,Turkey,243180,1183.0,5873.0,15.0,226155.0,1185.0,11152.0,617.0,2880,70.0,5387751.0,63803.0,84443200,347,14378.0,16,Asia
18,Germany,219530,1030.0,9268.0,3.0,198900.0,1000.0,11362.0,236.0,2619,111.0,8586648.0,102447.0,83815640,382,9044.0,10,Europe
19,France,204172,1397.0,30354.0,14.0,83237.0,401.0,90581.0,391.0,3127,465.0,5500000.0,84239.0,65290667,320,2151.0,12,Europe
20,Iraq,156995,3396.0,5531.0,67.0,112102.0,2312.0,39362.0,545.0,3894,137.0,1183950.0,29363.0,40320858,257,7290.0,34,Asia
21,Philippines,139305,2754.0,2311.0,18.0,68361.0,209.0,68633.0,389.0,1269,21.0,1830234.0,16677.0,109746632,788,47489.0,60,Asia
22,Indonesia,128776,1693.0,5824.0,59.0,83710.0,1474.0,39242.0,0.0,470,21.0,1731634.0,6323.0,273855751,2127,47022.0,158,Asia
23,Canada,120421,289.0,8991.0,4.0,106746.0,391.0,4684.0,2289.0,3187,238.0,4541747.0,120214.0,37780440,314,4202.0,8,North America
24,Qatar,113646,384.0,188.0,0.0,110324.0,331.0,3134.0,77.0,40475,67.0,529289.0,188506.0,2807805,25,14935.0,5,Asia
25,Kazakhstan,100164,722.0,1269.0,23.0,73702.0,1179.0,25193.0,221.0,5327,67.0,2183308.0,116119.0,18802348,188,14817.0,9,Asia
