,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5915630,41484.0,181114.0,510.0,3217981.0,50918.0,2516535.0,16483.0,17856,547.0,76883479.0,232071.0,331293410,56,1829.0,4,North America
1,Brazil,3627217,21434.0,115451.0,679.0,2778709.0,69071.0,733057.0,8318.0,17046,543.0,14144344.0,66473.0,212784888,59,1843.0,15,South America
2,India,3164881,59696.0,58546.0,854.0,2403101.0,66305.0,703234.0,8944.0,2290,42.0,35902137.0,25978.0,1382011722,437,23606.0,38,Asia
3,Russia,961493,4744.0,16448.0,65.0,773095.0,2456.0,171950.0,2300.0,6588,113.0,34600000.0,237077.0,145943991,152,8873.0,4,Europe
4,South Africa,611450,1677.0,13159.0,100.0,516494.0,10024.0,81797.0,539.0,10291,221.0,3564065.0,59983.0,59418339,97,4515.0,17,Africa
5,Peru,600438,6112.0,27813.0,150.0,407301.0,7944.0,165324.0,1525.0,18174,842.0,3006993.0,91014.0,33038913,55,1188.0,11,South America
6,Mexico,560164,3948.0,60480.0,226.0,383872.0,3380.0,115812.0,3264.0,4338,468.0,1259141.0,9751.0,129132739,231,2135.0,103,North America
7,Colombia,551696,10549.0,17612.0,296.0,384171.0,10141.0,149913.0,1493.0,10825,346.0,2508972.0,49231.0,50962919,92,2894.0,20,South America
8,Spain,420809,2080.0,28872.0,12.0,0.0,0.0,0.0,658.0,9000,617.0,8517446.0,182162.0,46757536,111,1619.0,5,Europe
9,Chile,399568,1903.0,10916.0,64.0,372464.0,1285.0,16188.0,1014.0,20875,570.0,2231463.0,116583.0,19140575,48,1753.0,9,South America
10,Iran,361150,2245.0,20776.0,133.0,311365.0,1901.0,29009.0,3848.0,4292,247.0,3062422.0,36392.0,84150494,233,4050.0,27,Asia
11,Argentina,350867,8713.0,7366.0,381.0,256789.0,5389.0,86712.0,1960.0,7753,163.0,1105878.0,24435.0,45257261,129,6144.0,41,South America
12,UK,326614,853.0,41433.0,4.0,0.0,0.0,0.0,72.0,4807,610.0,15177265.0,223394.0,67939531,208,1640.0,4,Europe
13,Saudi Arabia,308654,1175.0,3691.0,42.0,282888.0,2745.0,22075.0,1635.0,8846,106.0,4733485.0,135659.0,34892601,113,9453.0,7,Asia
14,Bangladesh,297083,2485.0,3983.0,42.0,182875.0,3784.0,110225.0,0.0,1801,24.0,1456038.0,8828.0,164932033,555,41409.0,113,Asia
15,Pakistan,293261,496.0,6244.0,9.0,276829.0,993.0,10188.0,686.0,1324,28.0,2463513.0,11122.0,221507141,755,35475.0,90,Asia
16,Italy,260298,953.0,35441.0,4.0,205662.0,192.0,19195.0,65.0,4306,586.0,8053551.0,133231.0,60448212,232,1706.0,8,Europe
17,Turkey,259692,1443.0,6139.0,18.0,237908.0,743.0,15645.0,796.0,3074,73.0,6423409.0,76041.0,84472939,325,13760.0,13,Asia
18,France,244854,1955.0,30528.0,15.0,85199.0,226.0,129127.0,399.0,3750,468.0,6000000.0,91890.0,65295389,267,2139.0,11,Europe
19,Germany,236117,1628.0,9336.0,4.0,209600.0,0.0,17181.0,245.0,2817,111.0,10197366.0,121652.0,83824401,355,8979.0,8,Europe
20,Iraq,207985,3644.0,6519.0,91.0,150389.0,3980.0,51077.0,661.0,5154,162.0,1457665.0,36125.0,40350522,194,6190.0,28,Asia
21,Philippines,194199,4633.0,3004.0,7.0,132028.0,715.0,59167.0,717.0,1769,27.0,2338607.0,21300.0,109794456,565,36549.0,47,Asia
22,Indonesia,155412,1877.0,6759.0,79.0,111060.0,3560.0,37593.0,0.0,567,25.0,2056166.0,7506.0,273950524,1763,40531.0,133,Asia
23,Canada,125647,751.0,9083.0,10.0,111694.0,582.0,4870.0,62.0,3325,240.0,5169166.0,136782.0,37791278,301,4161.0,7,North America
24,Qatar,117266,258.0,194.0,1.0,114099.0,291.0,2973.0,67.0,41764,69.0,594215.0,211630.0,2807805,24,14473.0,5,Asia
25,Bolivia,109149,722.0,4509.0,67.0,45396.0,1509.0,59244.0,71.0,9332,386.0,231259.0,19772.0,11696291,107,2594.0,51,South America
26,Ecuador,108289,520.0,6322.0,12.0,94878.0,62.0,7089.0,370.0,6124,358.0,307742.0,17404.0,17682007,163,2797.0,57,South America
27,Ukraine,106757,1802.0,2293.0,22.0,54524.0,2289.0,49940.0,177.0,2443,52.0,1425351.0,32622.0,43693004,409,19055.0,31,Europe
28,Kazakhstan,104718,175.0,1523.0,18.0,92598.0,1509.0,10597.0,221.0,5567,81.0,2291327.0,121816.0,18809710,180,12350.0,8,Asia
29,Israel,104472,1809.0,847.0,13.0,81642.0,2128.0,21983.0,416.0,11359,92.0,2180096.0,237029.0,9197590,88,10859.0,4,Asia
30,Egypt,97478,138.0,5280.0,18.0,66817.0,890.0,25381.0,41.0,950,51.0,135000.0,1316.0,102611592,1053,19434.0,760,Africa
31,Dominican Republic,91608,447.0,1573.0,6.0,61558.0,888.0,28477.0,242.0,8432,145.0,350033.0,32220.0,10863994,119,6907.0,31,North America
32,Panama,87485,585.0,1906.0,14.0,62185.0,765.0,23394.0,154.0,20229,441.0,308435.0,71321.0,4324625,49,2269.0,14,North America
33,Sweden,86891,160.0,5809.0,0.0,0.0,0.0,0.0,22.0,8596,575.0,1030010.0,101894.0,10108688,116,1740.0,10,Europe
34,China,84967,16.0,4634.0,0.0,79925.0,30.0,408.0,15.0,59,3.0,90410000.0,62814.0,1439323776,16940,310601.0,16,Asia
35,Oman,84509,740.0,637.0,28.0,78912.0,526.0,4960.0,149.0,16490,124.0,309212.0,60336.0,5124854,61,8045.0,17,Asia
36,Belgium,81936,468.0,9992.0,4.0,18225.0,21.0,53719.0,87.0,7065,862.0,2135402.0,184131.0,11597214,142,1161.0,5,Europe
