,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6290737,41211.0,189964.0,1090.0,3547032.0,50119.0,2553741.0,15101.0,18986,573.0,84098411.0,253812.0,331341050,53,1744.0,4,North America
1,Brazil,4001422,48632.0,123899.0,1218.0,3210405.0,51309.0,667118.0,8318.0,18802,582.0,14352484.0,67439.0,212821986,53,1718.0,15,South America
2,India,3848968,82860.0,67486.0,1026.0,2967396.0,67875.0,814086.0,8944.0,2784,49.0,44337201.0,32074.0,1382345085,359,20483.0,31,Asia
3,Russia,1005000,4952.0,17414.0,115.0,821169.0,5464.0,166417.0,2300.0,6886,119.0,37100000.0,254204.0,145945524,145,8381.0,4,Europe
4,Peru,663437,6308.0,29259.0,191.0,480177.0,8578.0,154001.0,1500.0,20074,885.0,3256711.0,98538.0,33050211,50,1130.0,10,South America
5,Colombia,633339,9270.0,20348.0,296.0,479568.0,10011.0,133423.0,1493.0,12424,399.0,2810137.0,55126.0,50976248,80,2505.0,18,South America
6,South Africa,630595,2336.0,14389.0,126.0,553456.0,3463.0,62750.0,539.0,10610,242.0,3726721.0,62701.0,59436725,94,4131.0,16,Africa
7,Mexico,606036,6476.0,65241.0,827.0,421373.0,4635.0,119422.0,3275.0,4692,505.0,1360123.0,10530.0,129166028,213,1980.0,95,North America
8,Spain,479554,8581.0,29194.0,42.0,0.0,0.0,0.0,874.0,10256,624.0,9210337.0,196979.0,46757980,98,1602.0,5,Europe
9,Argentina,439172,10933.0,9118.0,199.0,315530.0,7154.0,114524.0,2359.0,9702,201.0,1300866.0,28737.0,45267449,103,4965.0,35,South America
10,Chile,414739,1594.0,11344.0,23.0,387683.0,1893.0,15712.0,947.0,21663,593.0,2481508.0,129619.0,19144605,46,1688.0,8,South America
11,Iran,378752,1858.0,21797.0,125.0,326801.0,1677.0,30154.0,3693.0,4499,259.0,3281961.0,38989.0,84176929,222,3862.0,26,Asia
12,UK,338676,1508.0,41514.0,10.0,0.0,0.0,0.0,60.0,4984,611.0,16273209.0,239494.0,67948282,201,1637.0,4,Europe
13,Bangladesh,317528,2582.0,4351.0,35.0,211016.0,2839.0,102161.0,0.0,1925,26.0,1577616.0,9563.0,164972348,520,37916.0,105,Asia
14,Saudi Arabia,317486,816.0,3956.0,27.0,292510.0,996.0,21020.0,1523.0,9095,113.0,5026127.0,143991.0,34905942,110,8824.0,7,Asia
15,Pakistan,296590,441.0,6318.0,20.0,281459.0,489.0,8813.0,584.0,1338,29.0,2662508.0,12014.0,221612785,747,35076.0,83,Asia
16,France,293024,7017.0,30686.0,25.0,86963.0,251.0,175375.0,446.0,4487,470.0,7500000.0,114856.0,65298930,223,2128.0,9,Europe
17,Turkey,273301,1596.0,6462.0,45.0,246876.0,947.0,19963.0,1017.0,3235,76.0,7355862.0,87057.0,84495243,309,13076.0,11,Asia
18,Italy,271515,1326.0,35497.0,6.0,208201.0,257.0,27817.0,109.0,4492,587.0,8828868.0,146062.0,60446035,223,1703.0,7,Europe
19,Germany,247391,1390.0,9393.0,12.0,223100.0,1300.0,14898.0,228.0,2951,112.0,12383035.0,147714.0,83830972,339,8925.0,7,Europe
20,Iraq,242284,3946.0,7201.0,78.0,184205.0,3732.0,50878.0,527.0,6001,178.0,1647454.0,40806.0,40372771,167,5607.0,25,Asia
21,Philippines,226416,2194.0,3623.0,27.0,158595.0,594.0,64198.0,837.0,2062,33.0,2666941.0,24282.0,109830324,485,30315.0,41,Asia
22,Indonesia,180646,3075.0,7616.0,111.0,129971.0,1914.0,43059.0,0.0,659,28.0,2301628.0,8399.0,274021604,1517,35980.0,119,Asia
23,Canada,129923,498.0,9135.0,3.0,115050.0,443.0,5738.0,52.0,3437,242.0,5590068.0,147888.0,37799407,291,4138.0,7,North America
24,Ukraine,125798,2504.0,2656.0,51.0,58817.0,1015.0,64325.0,177.0,2880,61.0,1597707.0,36572.0,43686577,347,16448.0,27,Europe
25,Israel,121464,2926.0,969.0,12.0,97234.0,1020.0,23261.0,423.0,13206,105.0,2354222.0,255961.0,9197590,76,9492.0,4,Asia
26,Qatar,119206,212.0,199.0,1.0,116111.0,216.0,2896.0,60.0,42455,71.0,639742.0,227844.0,2807805,24,14110.0,4,Asia
27,Bolivia,117267,669.0,5101.0,74.0,62124.0,1716.0,50042.0,71.0,10023,436.0,243331.0,20797.0,11700207,100,2294.0,48,South America
