,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6000365,44637.0,183653.0,1289.0,3313861.0,59579.0,2502851.0,16378.0,18111,554.0,78632566.0,237343.0,331303997,55,1804.0,4,North America
1,Brazil,3722004,47828.0,117756.0,1090.0,2908848.0,60453.0,695400.0,8318.0,17491,553.0,14172764.0,66603.0,212793132,57,1807.0,15,South America
2,India,3307749,75995.0,60629.0,1017.0,2523443.0,56191.0,723677.0,8944.0,2393,44.0,37651512.0,27243.0,1382085803,418,22796.0,37,Asia
3,Russia,970865,4676.0,16683.0,115.0,786150.0,6403.0,168032.0,2300.0,6652,114.0,35100000.0,240503.0,145944331,150,8748.0,4,Europe
4,South Africa,615701,2684.0,13502.0,194.0,525242.0,4861.0,76957.0,539.0,10361,227.0,3598973.0,60566.0,59422425,97,4401.0,17,Africa
5,Peru,613378,5996.0,28124.0,123.0,421877.0,7300.0,163377.0,1512.0,18564,851.0,3055850.0,92485.0,33041424,54,1175.0,11,South America
6,Colombia,572270,10142.0,18184.0,295.0,407121.0,11651.0,146965.0,1493.0,11228,357.0,2582612.0,50673.0,50965881,89,2803.0,20,South America
7,Mexico,568621,4916.0,61450.0,650.0,393101.0,3977.0,114070.0,3442.0,4403,476.0,1278436.0,9900.0,129140136,227,2102.0,101,North America
8,Spain,426818,3594.0,28971.0,47.0,0.0,0.0,0.0,697.0,9128,620.0,8517446.0,182162.0,46757635,110,1614.0,5,Europe
9,Chile,402365,1380.0,10990.0,32.0,376268.0,1805.0,15107.0,1004.0,21021,574.0,2276223.0,118916.0,19141470,48,1742.0,8,South America
10,Argentina,370188,10550.0,7839.0,276.0,268801.0,5599.0,93548.0,2022.0,8179,173.0,1148574.0,25378.0,45259525,122,5774.0,39,South America
11,Iran,365606,2243.0,21020.0,119.0,314870.0,1812.0,29716.0,3831.0,4344,250.0,3113806.0,37000.0,84156368,230,4004.0,27,Asia
12,UK,328846,1048.0,41465.0,16.0,0.0,0.0,0.0,68.0,4840,610.0,15177265.0,223387.0,67941476,207,1639.0,4,Europe
13,Saudi Arabia,310836,1068.0,3755.0,33.0,284945.0,1013.0,22136.0,1601.0,8908,108.0,4792192.0,137330.0,34895566,112,9293.0,7,Asia
14,Bangladesh,302147,2519.0,4082.0,54.0,190183.0,3427.0,107882.0,0.0,1832,25.0,1485261.0,9005.0,164940992,546,40407.0,111,Asia
15,Pakistan,294193,482.0,6267.0,12.0,278939.0,514.0,8987.0,669.0,1328,28.0,2512337.0,11341.0,221530617,753,35349.0,88,Asia
16,Italy,262540,1367.0,35458.0,13.0,206329.0,314.0,20753.0,69.0,4343,587.0,8219421.0,135976.0,60447728,230,1705.0,7,Europe
17,Turkey,262507,1313.0,6183.0,20.0,239797.0,1002.0,16527.0,841.0,3107,73.0,6621749.0,78384.0,84477895,322,13663.0,13,Asia
18,France,253587,5429.0,30544.0,0.0,85524.0,0.0,137519.0,410.0,3884,468.0,6000000.0,91889.0,65296176,257,2138.0,11,Europe
19,Germany,239000,1428.0,9352.0,7.0,214233.0,4633.0,15415.0,245.0,2851,112.0,11208091.0,133707.0,83825861,351,8963.0,7,Europe
20,Iraq,215784,3837.0,6668.0,72.0,157215.0,3454.0,51901.0,595.0,5347,165.0,1502546.0,37233.0,40355467,187,6052.0,27,Asia
21,Philippines,202361,5277.0,3137.0,99.0,133460.0,1131.0,65764.0,717.0,1843,29.0,2406194.0,21914.0,109802427,543,35002.0,46,Asia
22,Indonesia,160165,2306.0,6944.0,86.0,115409.0,2542.0,37812.0,0.0,585,25.0,2106753.0,7690.0,273966320,1711,39454.0,130,Asia
23,Canada,126417,448.0,9094.0,4.0,112455.0,405.0,4868.0,45.0,3345,241.0,5246341.0,138817.0,37793085,299,4156.0,7,North America
24,Qatar,117742,244.0,194.0,0.0,114558.0,240.0,2990.0,63.0,41934,69.0,604112.0,215155.0,2807805,24,14473.0,5,Asia
25,Bolivia,110999,851.0,4664.0,86.0,48875.0,1825.0,57460.0,71.0,9489,399.0,236863.0,20250.0,11697161,105,2508.0,49,South America
26,Ecuador,110549,1519.0,6410.0,42.0,95097.0,72.0,9042.0,370.0,6252,362.0,315924.0,17865.0,17683472,160,2759.0,56,South America
27,Ukraine,110085,1670.0,2354.0,36.0,53454.0,584.0,54277.0,177.0,2520,54.0,1452006.0,33233.0,43691576,397,18561.0,30,Europe
28,Israel,108403,1943.0,875.0,16.0,86466.0,2644.0,21062.0,404.0,11786,95.0,2180096.0,237029.0,9197590,85,10512.0,4,Asia
29,Kazakhstan,105075,173.0,1523.0,0.0,93990.0,585.0,9562.0,221.0,5586,81.0,2291327.0,121808.0,18810937,179,12351.0,8,Asia
30,Egypt,97825,206.0,5317.0,19.0,68713.0,996.0,23795.0,41.0,953,52.0,135000.0,1316.0,102622155,1049,19301.0,760,Africa
31,Dominican Republic,92557,340.0,1613.0,28.0,63478.0,1018.0,27466.0,249.0,8519,148.0,355839.0,32752.0,10864588,117,6736.0,31,North America
32,Panama,89082,701.0,1932.0,13.0,63595.0,836.0,23555.0,153.0,20597,447.0,317156.0,73331.0,4324996,49,2239.0,14,North America
33,Sweden,87072,0.0,5817.0,5.0,0.0,0.0,0.0,21.0,8613,575.0,1094856.0,108305.0,10109031,116,1738.0,9,Europe
34,China,84996,15.0,4634.0,0.0,80015.0,54.0,347.0,8.0,59,3.0,90410000.0,62814.0,1439323776,16934,310601.0,16,Asia
35,Oman,84818,166.0,646.0,4.0,79409.0,262.0,4763.0,148.0,16548,126.0,309212.0,60327.0,5125566,60,7934.0,17,Asia
36,Belgium,82447,355.0,9878.0,0.0,18291.0,49.0,54278.0,85.0,7109,852.0,2162690.0,186479.0,11597489,141,1174.0,5,Europe
37,Kuwait,82271,698.0,521.0,2.0,73906.0,504.0,7844.0,92.0,19222,122.0,599413.0,140046.0,4280111,52,8215.0,7,Asia
38,Romania,81646,1256.0,3421.0,54.0,36286.0,470.0,41939.0,502.0,4249,178.0,1705368.0,88742.0,19217049,235,5617.0,11,Europe
39,Belarus,70974,247.0,657.0,5.0,69378.0,281.0,939.0,0.0,7511,70.0,1487902.0,157469.0,9448832,133,14382.0,6,Europe
40,Guatemala,70714,1063.0,2662.0,32.0,58783.0,892.0,9269.0,5.0,3936,148.0,229882.0,12796.0,17965034,254,6749.0,78,North America
41,Netherlands,68114,571.0,6215.0,8.0,0.0,0.0,0.0,47.0,3974,363.0,1455274.0,84901.0,17140821,252,2758.0,12,Europe
42,UAE,68020,399.0,378.0,1.0,59070.0,316.0,8572.0,0.0,6865,38.0,6687414.0,674910.0,9908607,146,26213.0,1,Asia
43,Japan,63822,701.0,1209.0,13.0,51688.0,1257.0,10925.0,246.0,505,10.0,1376783.0,10891.0,126414795,1981,104561.0,92,Asia
44,Poland,63802,729.0,1994.0,17.0,43399.0,615.0,18409.0,79.0,1686,53.0,2577726.0,68122.0,37840045,593,18977.0,15,Europe
45,Singapore,56495,60.0,27.0,0.0,54971.0,155.0,1497.0,0.0,9645,5.0,1832813.0,312903.0,5857443,104,216942.0,3,Asia
46,Portugal,56274,362.0,1807.0,2.0,41184.0,163.0,13283.0,38.0,5521,177.0,1958651.0,192176.0,10191976,181,5640.0,5,Europe
47,Honduras,55877,398.0,1703.0,20.0,9124.0,568.0,45050.0,47.0,5628,172.0,135216.0,13619.0,9928318,178,5830.0,73,North America
48,Morocco,55864,1336.0,984.0,29.0,40586.0,2293.0,14294.0,31.0,1511,27.0,1824251.0,49334.0,36977259,662,37579.0,20,Africa
49,Nigeria,53021,221.0,1010.0,3.0,40281.0,317.0,11730.0,7.0,256,5.0,388346.0,1877.0,206886335,3902,204838.0,533,Africa
50,Bahrain,50393,317.0,186.0,0.0,47049.0,376.0,3158.0,30.0,29471,109.0,1067907.0,624537.0,1709919,34,9193.0,2,Asia
51,Ethiopia,45221,1533.0,725.0,16.0,16311.0,515.0,28185.0,327.0,392,6.0,813410.0,7050.0,115379816,2551,159145.0,142,Africa
52,Ghana,43769,52.0,270.0,0.0,42048.0,205.0,1451.0,5.0,1404,9.0,437001.0,14020.0,31168998,712,115441.0,71,Africa
53,Kyrgyzstan,43358,113.0,1057.0,0.0,37217.0,292.0,5084.0,24.0,6629,162.0,267718.0,40933.0,6540366,151,6188.0,24,Asia
54,Armenia,43067,131.0,861.0,3.0,36726.0,251.0,5480.0,0.0,14529,290.0,198569.0,66991.0,2964113,69,3443.0,15,Asia
55,Algeria,42619,391.0,1465.0,9.0,29886.0,299.0,11268.0,28.0,969,33.0,0.0,0.0,43969405,1032,30013.0,,Africa
56,Venezuela,41158,0.0,343.0,0.0,32015.0,0.0,8800.0,86.0,1448,12.0,1706093.0,60025.0,28423116,691,82866.0,17,South America
57,Switzerland,40645,383.0,2003.0,1.0,34800.0,400.0,3842.0,18.0,4691,231.0,962895.0,111132.0,8664406,213,4326.0,9,Europe
58,Uzbekistan,39964,323.0,291.0,7.0,36402.0,533.0,3271.0,249.0,1191,9.0,1377915.0,41080.0,33542544,839,115266.0,24,Asia
59,Afghanistan,38113,43.0,1401.0,4.0,29042.0,602.0,7670.0,31.0,976,36.0,101893.0,2609.0,39057471,1025,27878.0,383,Asia
60,Costa Rica,36307,1002.0,386.0,10.0,13317.0,245.0,22604.0,143.0,7117,76.0,136154.0,26690.0,5101269,141,13216.0,37,North America
61,Azerbaijan,35707,148.0,522.0,1.0,33281.0,91.0,1904.0,0.0,3517,51.0,892070.0,87861.0,10153232,284,19451.0,11,Asia
62,Moldova,34982,624.0,967.0,7.0,24156.0,287.0,9859.0,575.0,8675,240.0,183923.0,45610.0,4032473,115,4170.0,22,Europe
63,Nepal,34418,885.0,175.0,11.0,19504.0,385.0,14739.0,0.0,1178,6.0,635252.0,21744.0,29215160,849,166944.0,46,Asia
64,Kenya,33016,213.0,564.0,5.0,19296.0,241.0,13156.0,44.0,612,10.0,429513.0,7962.0,53946033,1634,95649.0,126,Africa
65,Serbia,30974,154.0,707.0,2.0,29343.0,211.0,924.0,37.0,3547,81.0,895507.0,102558.0,8731751,282,12350.0,10,Europe
66,Ireland,28363,162.0,1777.0,0.0,23364.0,0.0,3222.0,5.0,5734,359.0,790298.0,159778.0,4946213,174,2783.0,6,Europe
67,Austria,26033,327.0,733.0,0.0,22145.0,257.0,3155.0,23.0,2888,81.0,1110089.0,123146.0,9014380,346,12298.0,8,Europe
68,Australia,25204,151.0,549.0,24.0,20100.0,286.0,4555.0,46.0,987,21.0,5886412.0,230433.0,25545026,1014,46530.0,4,Australia/Oceania
69,El Salvador,25140,154.0,687.0,9.0,13046.0,329.0,11407.0,297.0,3873,106.0,303031.0,46683.0,6491298,258,9449.0,21,North America
70,Czechia,22951,403.0,418.0,2.0,16954.0,292.0,5579.0,31.0,2143,39.0,861392.0,80413.0,10712102,467,25627.0,12,Europe
71,Palestine,20155,477.0,137.0,4.0,13929.0,767.0,6089.0,0.0,3937,27.0,214862.0,41975.0,5118838,254,37364.0,24,Asia
72,Cameroon,18973,0.0,410.0,0.0,16540.0,0.0,2023.0,30.0,712,15.0,149000.0,5593.0,26642406,1404,64981.0,179,Africa
73,Bosnia and Herzegovina,18609,283.0,571.0,11.0,12336.0,255.0,5702.0,0.0,5678,174.0,178652.0,54508.0,3277541,176,5740.0,18,Europe
74,S. Korea,18265,320.0,312.0,2.0,14368.0,82.0,3585.0,43.0,356,6.0,1849506.0,36070.0,51276136,2807,164347.0,28,Asia
75,Ivory Coast,17603,41.0,114.0,0.0,15941.0,33.0,1548.0,0.0,665,4.0,122975.0,4645.0,26473751,1504,232226.0,215,Africa
76,Denmark,16537,57.0,623.0,0.0,14603.0,138.0,1311.0,3.0,2853,107.0,2281780.0,393723.0,5795391,350,9302.0,3,Europe
77,Bulgaria,15751,162.0,586.0,14.0,10750.0,149.0,4415.0,60.0,2270,84.0,384450.0,55396.0,6940012,441,11843.0,18,Europe
78,Paraguay,14872,644.0,247.0,16.0,8134.0,251.0,6491.0,67.0,2081,35.0,180606.0,25274.0,7145877,480,28931.0,40,South America
79,Madagascar,14554,79.0,181.0,3.0,13582.0,90.0,791.0,68.0,524,7.0,56065.0,2017.0,27794735,1910,153562.0,496,Africa
80,Lebanon,14248,561.0,139.0,1.0,3955.0,232.0,10154.0,77.0,2089,20.0,484150.0,70984.0,6820558,479,49069.0,14,Asia
81,North Macedonia,13914,115.0,578.0,5.0,10507.0,297.0,2829.0,5.0,6679,277.0,142158.0,68235.0,2083360,150,3604.0,15,Europe
82,Senegal,13186,130.0,275.0,1.0,8852.0,137.0,4059.0,43.0,785,16.0,140032.0,8331.0,16808071,1275,61120.0,120,Africa
83,Sudan,12974,0.0,819.0,0.0,6557.0,0.0,5598.0,0.0,295,19.0,401.0,9.0,43999630,3391,53724.0,109725,Africa
84,Libya,11834,553.0,210.0,7.0,1152.0,40.0,10472.0,0.0,1719,30.0,101310.0,14714.0,6885460,582,32788.0,68,Africa
85,Zambia,11376,91.0,282.0,0.0,10693.0,293.0,401.0,0.0,616,15.0,107446.0,5821.0,18458372,1623,65455.0,172,Africa
86,Norway,10504,50.0,264.0,0.0,9150.0,0.0,1090.0,1.0,1935,49.0,653756.0,120446.0,5427784,517,20560.0,8,Europe
87,DRC,9912,21.0,254.0,3.0,8987.0,15.0,671.0,0.0,110,3.0,0.0,0.0,89951643,9075,354140.0,,Africa
88,Malaysia,9291,6.0,125.0,0.0,8978.0,7.0,188.0,9.0,287,4.0,1191500.0,36742.0,32429032,3490,259432.0,27,Asia
89,Greece,9280,293.0,248.0,5.0,3804.0,0.0,5228.0,33.0,891,24.0,887991.0,85262.0,10414904,1122,41996.0,12,Europe
90,Guinea,9167,39.0,57.0,0.0,8150.0,110.0,960.0,24.0,695,4.0,22486.0,1705.0,13184441,1438,231306.0,586,Africa
91,French Guiana,8936,32.0,56.0,0.0,8461.0,62.0,419.0,17.0,29806,187.0,50844.0,169588.0,299809,34,5354.0,6,South America
92,Albania,8927,168.0,263.0,4.0,4633.0,103.0,4031.0,19.0,3103,91.0,54353.0,18890.0,2877299,322,10940.0,53,Europe
93,Croatia,8888,358.0,175.0,0.0,6362.0,238.0,2351.0,10.0,2167,43.0,157387.0,38376.0,4101200,461,23435.0,26,Europe
94,Gabon,8468,59.0,53.0,0.0,7066.0,107.0,1349.0,2.0,3791,24.0,113295.0,50727.0,2233441,264,42140.0,20,Africa
95,Tajikistan,8413,34.0,67.0,0.0,7214.0,35.0,1132.0,0.0,879,7.0,0.0,0.0,9569203,1137,142824.0,,Asia
96,Haiti,8122,10.0,197.0,1.0,5677.0,53.0,2248.0,0.0,711,17.0,22742.0,1991.0,11423698,1407,57988.0,502,North America
97,Finland,8002,21.0,335.0,0.0,7200.0,100.0,467.0,1.0,1444,60.0,596091.0,107557.0,5542073,693,16544.0,9,Europe
98,Luxembourg,7928,90.0,124.0,0.0,7140.0,26.0,664.0,2.0,12634,198.0,741807.0,1182146.0,627509,79,5061.0,1,Europe
