,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6514231,28561.0,194030.0,496.0,3796760.0,38074.0,2523441.0,14464.0,19658,586.0,88656974.0,267545.0,331372810,51,1708.0,4,North America
1,India,4367436,89852.0,73923.0,1107.0,3396027.0,74607.0,897486.0,8944.0,3159,53.0,50650128.0,36635.0,1382567327,317,18703.0,27,Asia
2,Brazil,4165124,17330.0,127517.0,516.0,3397234.0,41670.0,640373.0,8318.0,19569,599.0,14408116.0,67692.0,212846718,51,1669.0,15,South America
3,Russia,1035789,5099.0,17993.0,122.0,850049.0,6772.0,167747.0,2300.0,7097,123.0,38758184.0,265564.0,145946547,141,8111.0,4,Europe
4,Peru,696190,4615.0,30123.0,147.0,529751.0,7500.0,136316.0,1499.0,21060,911.0,3403397.0,102953.0,33057742,47,1097.0,10,South America
5,Colombia,679513,7665.0,21817.0,202.0,541462.0,12183.0,116234.0,863.0,13328,428.0,2996911.0,58780.0,50985133,75,2337.0,17,South America
6,South Africa,640441,1079.0,15086.0,82.0,567729.0,1174.0,57626.0,539.0,10773,254.0,3821162.0,64276.0,59448983,93,3941.0,16,Africa
7,Mexico,637509,3486.0,67781.0,223.0,446715.0,4447.0,123013.0,2836.0,4935,525.0,1435703.0,11113.0,129188221,203,1906.0,90,North America
8,Spain,534513,8964.0,29594.0,78.0,0.0,0.0,0.0,1034.0,11431,633.0,9987326.0,213595.0,46758276,87,1580.0,5,Europe
9,Argentina,500034,12027.0,10405.0,276.0,366590.0,9202.0,123039.0,2719.0,11045,230.0,1412149.0,31191.0,45274241,91,4351.0,32,South America
10,Chile,425541,1267.0,11682.0,30.0,397730.0,2013.0,16129.0,930.0,22225,610.0,2669569.0,139423.0,19147292,45,1639.0,7,South America
11,Iran,391112,2302.0,22542.0,132.0,337414.0,1842.0,31156.0,3713.0,4645,268.0,3431646.0,40759.0,84194553,215,3735.0,25,Asia
12,UK,352560,2460.0,41586.0,32.0,0.0,0.0,0.0,77.0,5188,612.0,17619897.0,259291.0,67954116,193,1634.0,4,Europe
13,France,335524,6544.0,30764.0,38.0,88226.0,390.0,216534.0,574.0,5138,471.0,8500000.0,130166.0,65301291,195,2123.0,8,Europe
14,Bangladesh,329251,1892.0,4552.0,36.0,227809.0,3236.0,96890.0,0.0,1995,28.0,1659697.0,10059.0,164999225,501,36248.0,99,Asia
15,Saudi Arabia,322237,781.0,4137.0,30.0,298246.0,623.0,19854.0,1428.0,9229,118.0,5406136.0,154838.0,34914836,108,8440.0,6,Asia
16,Pakistan,299233,330.0,6350.0,5.0,286157.0,141.0,6726.0,606.0,1350,29.0,2802210.0,12641.0,221683215,741,34911.0,79,Asia
17,Turkey,283270,1761.0,6782.0,52.0,253245.0,1093.0,23243.0,1159.0,3352,80.0,7994029.0,94593.0,84510112,298,12461.0,11,Asia
18,Italy,280149,1366.0,35563.0,10.0,210801.0,563.0,33785.0,143.0,4635,588.0,9364213.0,154922.0,60444583,216,1700.0,6,Europe
19,Iraq,269578,4894.0,7657.0,68.0,206324.0,3465.0,55597.0,505.0,6675,190.0,1718157.0,42542.0,40387603,150,5275.0,24,Asia
20,Germany,254956,1331.0,9409.0,4.0,230600.0,3600.0,14947.0,223.0,3041,112.0,12383035.0,147707.0,83835352,329,8910.0,7,Europe
21,Philippines,241967,3240.0,3916.0,26.0,185167.0,261.0,52884.0,982.0,2203,36.0,2873578.0,26158.0,109854237,454,28053.0,38,Asia
22,Indonesia,200035,3046.0,8230.0,100.0,142958.0,2306.0,48847.0,0.0,730,30.0,2484807.0,9066.0,274068991,1370,33301.0,110,Asia
23,Ukraine,140479,2411.0,2934.0,57.0,63546.0,940.0,73999.0,177.0,3216,67.0,1731877.0,39647.0,43682293,311,14888.0,25,Europe
24,Israel,137565,3590.0,1040.0,14.0,107003.0,1548.0,29522.0,454.0,14957,113.0,2488587.0,270569.0,9197590,67,8844.0,4,Asia
25,Canada,133748,1606.0,9153.0,7.0,117565.0,1106.0,7030.0,54.0,3538,242.0,5891121.0,155830.0,37804826,283,4130.0,6,North America
26,Bolivia,121604,835.0,7054.0,46.0,73150.0,1661.0,41400.0,71.0,10391,603.0,253647.0,21674.0,11702818,96,1659.0,46,South America
27,Qatar,120579,231.0,205.0,0.0,117497.0,256.0,2877.0,49.0,42944,73.0,667936.0,237885.0,2807805,23,13697.0,4,Asia
28,Ecuador,110757,665.0,10627.0,51.0,91242.0,0.0,8888.0,377.0,6260,601.0,333977.0,18876.0,17692994,160,1665.0,53,South America
29,Kazakhstan,106425,64.0,1634.0,6.0,99893.0,239.0,4898.0,221.0,5655,87.0,2571562.0,136648.0,18818912,177,11517.0,7,Asia
30,Egypt,100228,187.0,5560.0,19.0,79886.0,878.0,14782.0,41.0,976,54.0,135000.0,1315.0,102690815,1025,18470.0,761,Africa
31,Dominican Republic,100131,233.0,1889.0,25.0,73795.0,567.0,24447.0,210.0,9213,174.0,400138.0,36816.0,10868449,109,5754.0,27,North America
32,Panama,98407,829.0,2107.0,8.0,70751.0,504.0,25549.0,132.0,22740,487.0,374599.0,86564.0,4327410,44,2054.0,12,North America
33,Romania,97033,1136.0,3967.0,41.0,40838.0,384.0,52228.0,460.0,5051,206.0,1966290.0,102344.0,19212516,198,4843.0,10,Europe
34,Kuwait,91244,857.0,548.0,2.0,81654.0,617.0,9042.0,89.0,21307,128.0,653099.0,152509.0,4282356,47,7815.0,7,Asia
35,Belgium,88769,402.0,9909.0,2.0,18576.0,9.0,60284.0,52.0,7653,854.0,2449055.0,211139.0,11599276,131,1171.0,5,Europe
36,Oman,87590,262.0,742.0,8.0,82973.0,168.0,3875.0,161.0,17073,145.0,309212.0,60273.0,5130194,59,6914.0,17,Asia
37,Sweden,85880,127.0,5838.0,0.0,0.0,0.0,0.0,13.0,8493,577.0,1124269.0,111190.0,10111264,118,1732.0,9,Europe
38,China,85144,10.0,4634.0,0.0,80335.0,15.0,175.0,3.0,59,3.0,160000000.0,111163.0,1439323776,16905,310601.0,9,Asia
39,Guatemala,78721,893.0,2890.0,28.0,67462.0,878.0,8369.0,5.0,4379,161.0,263085.0,14635.0,17976822,228,6220.0,68,North America
40,Netherlands,76548,964.0,6244.0,1.0,0.0,0.0,0.0,45.0,4465,364.0,1648103.0,96143.0,17142164,224,2745.0,10,Europe
41,Morocco,75721,1941.0,1427.0,33.0,57239.0,1143.0,17055.0,240.0,2047,39.0,2115390.0,57184.0,36992794,489,25923.0,17,Africa
42,UAE,75098,644.0,391.0,1.0,66943.0,410.0,7764.0,0.0,7576,39.0,7704318.0,777205.0,9912851,132,25353.0,1,Asia
43,Belarus,73208,177.0,721.0,5.0,71916.0,33.0,571.0,0.0,7748,76.0,1591247.0,168409.0,9448722,129,13105.0,6,Europe
44,Japan,72234,378.0,1377.0,14.0,63282.0,746.0,7575.0,202.0,571,11.0,1622149.0,12833.0,126401103,1750,91795.0,78,Asia
45,Poland,71526,400.0,2136.0,12.0,55910.0,797.0,13480.0,81.0,1890,56.0,2841344.0,75091.0,37838578,529,17715.0,13,Europe
46,Honduras,64814,50.0,2023.0,16.0,13828.0,410.0,48963.0,36.0,6525,204.0,154241.0,15527.0,9933918,153,4910.0,64,North America
47,Portugal,60895,388.0,1846.0,3.0,43146.0,130.0,15903.0,50.0,5975,181.0,2153615.0,211327.0,10190924,167,5521.0,5,Europe
48,Ethiopia,60784,1136.0,949.0,16.0,22677.0,888.0,37158.0,309.0,526,8.0,1078269.0,9337.0,115481268,1900,121687.0,107,Africa
49,Singapore,57091,47.0,27.0,0.0,56461.0,53.0,603.0,0.0,9744,5.0,2068284.0,353005.0,5859075,103,217003.0,3,Asia
50,Bahrain,56778,702.0,202.0,2.0,51574.0,334.0,5002.0,30.0,33164,118.0,1194923.0,697956.0,1712032,30,8475.0,1,Asia
51,Venezuela,55563,1213.0,444.0,8.0,44435.0,682.0,10684.0,111.0,1955,16.0,1824287.0,64190.0,28420266,511,64010.0,16,South America
52,Nigeria,55456,296.0,1067.0,6.0,43334.0,103.0,11055.0,7.0,268,5.0,426803.0,2061.0,207068357,3734,194066.0,485,Africa
53,Costa Rica,49897,1117.0,531.0,21.0,19285.0,202.0,30081.0,236.0,9778,104.0,166786.0,32684.0,5102920,102,9610.0,31,North America
54,Nepal,48138,902.0,306.0,6.0,32964.0,2287.0,14868.0,0.0,1647,10.0,788174.0,26961.0,29233798,607,95535.0,37,Asia
55,Algeria,46938,285.0,1571.0,9.0,33183.0,198.0,12184.0,35.0,1067,36.0,0.0,0.0,43997567,937,28006.0,,Africa
56,Ghana,45012,143.0,283.0,0.0,43898.0,97.0,831.0,5.0,1443,9.0,448820.0,14389.0,31192083,693,110219.0,69,Africa
57,Armenia,44953,108.0,903.0,3.0,40592.0,471.0,3458.0,0.0,15165,305.0,221041.0,74567.0,2964309,66,3283.0,13,Asia
58,Switzerland,44837,245.0,2018.0,4.0,37700.0,0.0,5119.0,25.0,5174,233.0,1111984.0,128306.0,8666651,193,4295.0,8,Europe
59,Kyrgyzstan,44526,68.0,1060.0,0.0,40158.0,198.0,3308.0,24.0,6804,162.0,267718.0,40909.0,6544193,147,6174.0,24,Asia
60,Uzbekistan,44281,388.0,358.0,6.0,41594.0,63.0,2329.0,224.0,1319,11.0,1377915.0,41059.0,33559779,758,93742.0,24,Asia
61,Moldova,40556,501.0,1087.0,13.0,28578.0,779.0,10891.0,549.0,10058,270.0,210553.0,52219.0,4032141,99,3709.0,19,Europe
62,Afghanistan,38520,26.0,1418.0,3.0,30715.0,158.0,6387.0,93.0,985,36.0,105213.0,2692.0,39088687,1015,27566.0,372,Asia
63,Azerbaijan,37557,139.0,552.0,1.0,34965.0,128.0,2040.0,0.0,3698,54.0,967040.0,95214.0,10156475,270,18399.0,11,Asia
64,Kenya,35356,151.0,599.0,0.0,21483.0,173.0,13274.0,44.0,655,11.0,474477.0,8789.0,53988201,1527,90131.0,114,Africa
65,Serbia,31994,53.0,727.0,2.0,30737.0,45.0,530.0,38.0,3665,83.0,993140.0,113755.0,8730506,273,12009.0,9,Europe
66,Austria,30081,520.0,747.0,1.0,25629.0,329.0,3705.0,28.0,3336,83.0,1266223.0,140439.0,9016202,300,12070.0,7,Europe
67,Ireland,30080,306.0,1778.0,1.0,23364.0,0.0,4938.0,7.0,6079,359.0,913168.0,184547.0,4948171,165,2783.0,5,Europe
68,Czechia,29877,1161.0,441.0,4.0,20139.0,284.0,9297.0,62.0,2789,41.0,982811.0,91742.0,10712805,359,24292.0,11,Europe
69,Palestine,27363,584.0,190.0,6.0,17779.0,509.0,9394.0,0.0,5341,37.0,306621.0,59851.0,5123061,187,26963.0,17,Asia
70,El Salvador,26511,98.0,765.0,1.0,16462.0,325.0,9284.0,236.0,4083,118.0,335099.0,51614.0,6492458,245,8487.0,19,North America
71,Australia,26374,52.0,770.0,8.0,22724.0,121.0,2880.0,29.0,1032,30.0,6725558.0,263174.0,25555531,969,33189.0,4,Australia/Oceania
72,Paraguay,24214,861.0,463.0,14.0,11920.0,396.0,11831.0,108.0,3387,65.0,214976.0,30071.0,7148989,295,15441.0,33,South America
73,Bosnia and Herzegovina,21961,301.0,669.0,5.0,15172.0,342.0,6120.0,0.0,6702,204.0,200525.0,61195.0,3276820,149,4898.0,16,Europe
74,S. Korea,21432,136.0,341.0,5.0,16636.0,339.0,4455.0,151.0,418,7.0,2066078.0,40292.0,51277698,2393,150374.0,25,Asia
75,Lebanon,21324,498.0,207.0,7.0,6722.0,292.0,14395.0,122.0,3127,30.0,599254.0,87874.0,6819477,320,32944.0,11,Asia
76,Cameroon,19848,244.0,415.0,0.0,18448.0,0.0,985.0,30.0,744,16.0,149000.0,5588.0,26665949,1344,64255.0,179,Africa
77,Libya,19583,749.0,314.0,18.0,2247.0,121.0,17022.0,0.0,2843,46.0,133989.0,19450.0,6888779,352,21939.0,51,Africa
78,Ivory Coast,18778,77.0,119.0,0.0,17688.0,89.0,971.0,0.0,709,4.0,135277.0,5105.0,26497023,1411,222664.0,196,Africa
79,Denmark,18356,243.0,628.0,0.0,15907.0,74.0,1821.0,2.0,3167,108.0,2750858.0,474604.0,5796113,316,9229.0,2,Europe
80,Bulgaria,17313,167.0,692.0,15.0,12297.0,108.0,4324.0,57.0,2495,100.0,446303.0,64326.0,6938165,401,10026.0,16,Europe
