,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6708458,31857.0,198520.0,392.0,3974949.0,24595.0,2534989.0,14113.0,20243,599.0,92403500.0,278828.0,331399277,49,1669.0,4,North America
1,India,4845003,93215.0,79754.0,1140.0,3777044.0,77746.0,988205.0,8944.0,3504,58.0,56260928.0,40688.0,1382752528,285,17338.0,25,Asia
2,Brazil,4330455,14597.0,131663.0,389.0,3573958.0,20537.0,624834.0,8318.0,20343,619.0,14505652.0,68144.0,212867328,49,1617.0,15,South America
3,Russia,1062811,5449.0,18578.0,94.0,876225.0,2690.0,168008.0,2300.0,7282,127.0,40624075.0,278347.0,145947399,137,7856.0,4,Europe
4,Peru,729619,6787.0,30710.0,117.0,566796.0,7475.0,132113.0,1448.0,22067,929.0,3534937.0,106912.0,33064018,45,1077.0,9,South America
5,Colombia,716319,7355.0,22924.0,190.0,599385.0,6565.0,94010.0,863.0,14048,450.0,3164001.0,62048.0,50992538,71,2224.0,16,South America
6,Mexico,663973,5674.0,70604.0,421.0,467525.0,3761.0,125844.0,2899.0,5139,546.0,1510311.0,11689.0,129206715,195,1830.0,86,North America
7,South Africa,649793,1579.0,15447.0,20.0,577906.0,1483.0,56440.0,539.0,10928,260.0,3918478.0,65902.0,59459197,92,3849.0,15,Africa
8,Spain,576697,0.0,29747.0,0.0,0.0,0.0,0.0,1136.0,12334,636.0,9987326.0,213594.0,46758522,81,1572.0,5,Europe
9,Argentina,555537,9056.0,11352.0,89.0,419513.0,9742.0,124672.0,2984.0,12269,251.0,1563241.0,34524.0,45279901,82,3989.0,29,South America
10,Chile,434748,2082.0,11949.0,54.0,406326.0,1407.0,16473.0,906.0,22703,624.0,2828129.0,147687.0,19149531,44,1603.0,7,South America
11,Iran,402029,2089.0,23157.0,128.0,346242.0,1726.0,32630.0,3791.0,4774,275.0,3532873.0,41954.0,84209239,209,3636.0,24,Asia
12,France,381094,7183.0,30916.0,6.0,89059.0,0.0,261119.0,635.0,5836,473.0,10000000.0,153132.0,65303258,171,2112.0,7,Europe
13,UK,368504,3330.0,41628.0,5.0,0.0,0.0,0.0,79.0,5422,613.0,19293329.0,283897.0,67958978,184,1633.0,4,Europe
14,Bangladesh,337520,1476.0,4733.0,31.0,240643.0,2372.0,92144.0,0.0,2045,29.0,1728480.0,10474.0,165021623,489,34866.0,95,Asia
15,Saudi Arabia,325651,601.0,4268.0,28.0,302870.0,1034.0,18513.0,1326.0,9325,122.0,5722477.0,163863.0,34922248,107,8182.0,6,Asia
16,Pakistan,301481,526.0,6379.0,6.0,289429.0,893.0,5673.0,534.0,1360,29.0,2939790.0,13258.0,221741906,736,34761.0,75,Asia
17,Turkey,291162,1527.0,7056.0,57.0,258833.0,1102.0,25273.0,1267.0,3445,83.0,8519560.0,100796.0,84522503,290,11979.0,10,Asia
18,Iraq,290309,3531.0,8014.0,73.0,224705.0,3422.0,57590.0,546.0,7186,198.0,1883048.0,46610.0,40399964,139,5041.0,21,Asia
19,Italy,287753,1458.0,35610.0,7.0,213634.0,443.0,38509.0,187.0,4761,589.0,9818118.0,162435.0,60443373,210,1697.0,6,Europe
20,Germany,261298,752.0,9428.0,1.0,235700.0,400.0,16170.0,233.0,3117,112.0,13436301.0,160263.0,83839002,321,8893.0,6,Europe
21,Philippines,261216,3372.0,4371.0,79.0,207568.0,20472.0,49277.0,1048.0,2377,40.0,3078406.0,28018.0,109874163,421,25137.0,36,Asia
22,Indonesia,218382,3636.0,8723.0,73.0,155010.0,2552.0,54649.0,0.0,797,32.0,2650104.0,9668.0,274108479,1255,31424.0,103,Asia
23,Israel,155604,2882.0,1119.0,16.0,114998.0,1502.0,39487.0,519.0,16918,122.0,2736590.0,297533.0,9197590,59,8219.0,3,Asia
24,Ukraine,154335,2476.0,3178.0,30.0,68893.0,547.0,82264.0,177.0,3533,73.0,1834165.0,41992.0,43678722,283,13744.0,24,Europe
25,Canada,136659,518.0,9171.0,1.0,120431.0,356.0,7057.0,53.0,3614,243.0,6154468.0,162776.0,37809342,277,4123.0,6,North America
