,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6711217,33041.0,198520.0,392.0,3974949.0,24595.0,2537748.0,14113.0,20251,599.0,92050902.0,277760.0,331404570,49,1669.0,4,North America
1,India,4845003,93215.0,79754.0,1140.0,3777044.0,77746.0,988205.0,8944.0,3504,58.0,56260928.0,40687.0,1382789568,285,17338.0,25,Asia
2,Brazil,4330455,14597.0,131663.0,389.0,3573958.0,20537.0,624834.0,8318.0,20343,619.0,14505652.0,68143.0,212871450,49,1617.0,15,South America
3,Russia,1062811,5449.0,18578.0,94.0,876225.0,2690.0,168008.0,2300.0,7282,127.0,40624075.0,278347.0,145947569,137,7856.0,4,Europe
4,Peru,729619,6787.0,30710.0,117.0,566796.0,7475.0,132113.0,1448.0,22066,929.0,3534937.0,106908.0,33065274,45,1077.0,9,South America
5,Colombia,716319,7355.0,22924.0,190.0,599385.0,6565.0,94010.0,863.0,14047,450.0,3164001.0,62047.0,50994019,71,2224.0,16,South America
6,Mexico,663973,5674.0,70604.0,421.0,467525.0,3761.0,125844.0,2899.0,5139,546.0,1510311.0,11689.0,129210414,195,1830.0,86,North America
7,South Africa,649793,1579.0,15447.0,20.0,577906.0,1483.0,56440.0,539.0,10928,260.0,3918478.0,65900.0,59461240,92,3849.0,15,Africa
8,Spain,590707,7005.0,29815.0,33.0,0.0,0.0,0.0,1136.0,12633,638.0,9987326.0,213593.0,46758571,79,1568.0,5,Europe
9,Argentina,555537,9056.0,11352.0,89.0,419513.0,9742.0,124672.0,2984.0,12269,251.0,1563241.0,34523.0,45281033,82,3989.0,29,South America
10,Chile,434748,2082.0,11949.0,54.0,406326.0,1407.0,16473.0,906.0,22702,624.0,2828129.0,147683.0,19149979,44,1603.0,7,South America
11,Iran,402029,2089.0,23157.0,128.0,346242.0,1726.0,32630.0,3791.0,4774,275.0,3532873.0,41952.0,84212176,209,3637.0,24,Asia
12,France,381094,7183.0,30916.0,6.0,89059.0,0.0,261119.0,635.0,5836,473.0,10000000.0,153131.0,65303652,171,2112.0,7,Europe
13,UK,368504,3330.0,41628.0,5.0,0.0,0.0,0.0,79.0,5422,613.0,19293329.0,283893.0,67959950,184,1633.0,4,Europe
14,Bangladesh,337520,1476.0,4733.0,31.0,240643.0,2372.0,92144.0,0.0,2045,29.0,1728480.0,10474.0,165026102,489,34867.0,95,Asia
15,Saudi Arabia,325651,601.0,4268.0,28.0,302870.0,1034.0,18513.0,1326.0,9325,122.0,5722477.0,163856.0,34923731,107,8183.0,6,Asia
16,Pakistan,301481,526.0,6379.0,6.0,289429.0,893.0,5673.0,534.0,1360,29.0,2939790.0,13257.0,221753645,736,34763.0,75,Asia
17,Turkey,291162,1527.0,7056.0,57.0,258833.0,1102.0,25273.0,1267.0,3445,83.0,8519560.0,100793.0,84524981,290,11979.0,10,Asia
18,Iraq,290309,3531.0,8014.0,73.0,224705.0,3422.0,57590.0,546.0,7185,198.0,1883048.0,46607.0,40402436,139,5041.0,21,Asia
19,Italy,287753,1458.0,35610.0,7.0,213634.0,443.0,38509.0,187.0,4761,589.0,9818118.0,162436.0,60443131,210,1697.0,6,Europe
20,Germany,261298,752.0,9428.0,1.0,235700.0,400.0,16170.0,233.0,3117,112.0,13436301.0,160262.0,83839732,321,8893.0,6,Europe
21,Philippines,261189,3345.0,4371.0,79.0,207255.0,20159.0,49563.0,1048.0,2377,40.0,3078406.0,28017.0,109878149,421,25138.0,36,Asia
22,Indonesia,218382,3636.0,8723.0,73.0,155010.0,2552.0,54649.0,0.0,797,32.0,2650104.0,9668.0,274116377,1255,31425.0,103,Asia
23,Israel,155604,2882.0,1119.0,16.0,114998.0,1502.0,39487.0,519.0,16918,122.0,2736590.0,297533.0,9197590,59,8219.0,3,Asia
24,Ukraine,154335,2476.0,3178.0,30.0,68893.0,547.0,82264.0,177.0,3533,73.0,1856467.0,42503.0,43678008,283,13744.0,24,Europe
25,Canada,136659,518.0,9171.0,1.0,120431.0,356.0,7057.0,53.0,3614,243.0,6154468.0,162772.0,37810245,277,4123.0,6,North America
26,Bolivia,125982,810.0,7297.0,47.0,82796.0,1556.0,35889.0,71.0,10763,623.0,272504.0,23280.0,11705429,93,1604.0,43,South America
27,Qatar,121740,217.0,205.0,0.0,118682.0,207.0,2853.0,37.0,43358,73.0,691031.0,246111.0,2807805,23,13697.0,4,Asia
28,Ecuador,118594,2143.0,10903.0,39.0,97063.0,5821.0,10628.0,378.0,6701,616.0,354140.0,20011.0,17697388,149,1623.0,50,South America
29,Kazakhstan,106803,74.0,1634.0,0.0,100615.0,97.0,4554.0,221.0,5674,87.0,2571562.0,136621.0,18822593,176,11519.0,7,Asia
30,Dominican Republic,103660,568.0,1968.0,15.0,77182.0,651.0,24510.0,210.0,9536,181.0,419327.0,38576.0,10870231,105,5523.0,26,North America
31,Romania,103495,1109.0,4163.0,36.0,43025.0,214.0,56307.0,465.0,5387,217.0,2081644.0,108360.0,19210423,186,4615.0,9,Europe
32,Panama,101745,704.0,2166.0,11.0,74107.0,631.0,25472.0,158.0,23506,500.0,399197.0,92225.0,4328525,43,1998.0,11,North America
33,Egypt,101009,153.0,5648.0,21.0,84161.0,900.0,11200.0,41.0,983,55.0,135000.0,1314.0,102722504,1017,18187.0,761,Africa
34,Kuwait,94764,553.0,560.0,2.0,84995.0,591.0,9209.0,94.0,22124,131.0,675742.0,157759.0,4283392,45,7649.0,6,Asia
