,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5571415,37682.0,173127.0,521.0,2922724.0,18335.0,2475564.0,17237.0,16819,523.0,70960630.0,214213.0,331261650,59,1913.0,5,North America
1,Brazil,3340197,22365.0,107879.0,582.0,2432456.0,28184.0,799862.0,8318.0,15699,507.0,13464336.0,63284.0,212760156,64,1972.0,16,South America
2,India,2647316,58108.0,51045.0,961.0,1918076.0,57404.0,678195.0,8944.0,1916,37.0,29309703.0,21211.0,1381789480,522,27070.0,47,Asia
3,Russia,922853,4969.0,15685.0,68.0,732968.0,3557.0,174200.0,2300.0,6323,107.0,32533818.0,222921.0,145942968,158,9305.0,4,Europe
4,South Africa,587345,3692.0,11839.0,162.0,472377.0,5436.0,103129.0,539.0,9887,199.0,3400638.0,57244.0,59406081,101,5018.0,17,Africa
5,Peru,535946,10143.0,26281.0,206.0,365367.0,5586.0,144298.0,1533.0,16225,796.0,2773412.0,83963.0,33031382,62,1257.0,12,South America
6,Mexico,517714,6345.0,56543.0,635.0,351372.0,5719.0,109799.0,3653.0,4010,438.0,1171007.0,9070.0,129110546,249,2283.0,110,North America
7,Colombia,468332,11643.0,15097.0,287.0,287436.0,13016.0,165799.0,1493.0,9191,296.0,2225388.0,43674.0,50954033,109,3375.0,23,South America
8,Chile,385946,2044.0,10452.0,57.0,358828.0,1877.0,16666.0,1190.0,20167,546.0,2019591.0,105528.0,19137888,50,1831.0,9,South America
9,Spain,380309,3490.0,28644.0,13.0,0.0,0.0,0.0,617.0,8134,613.0,7472031.0,159805.0,46757240,123,1632.0,6,Europe
10,Iran,343203,2133.0,19639.0,147.0,297486.0,1856.0,26078.0,3881.0,4079,233.0,2861825.0,34016.0,84132870,245,4284.0,29,Asia
11,UK,318484,1040.0,41366.0,5.0,0.0,0.0,0.0,73.0,4688,609.0,14503645.0,213497.0,67933697,213,1642.0,5,Europe
12,Saudi Arabia,298542,1227.0,3408.0,39.0,266953.0,2466.0,28181.0,1774.0,8558,98.0,4202076.0,120460.0,34883707,117,10236.0,8,Asia
13,Argentina,294569,5469.0,5703.0,66.0,211702.0,6005.0,77164.0,1708.0,6510,126.0,966926.0,21368.0,45250469,154,7935.0,47,South America
14,Pakistan,288717,670.0,6168.0,6.0,266301.0,677.0,16248.0,769.0,1304,28.0,2277153.0,10284.0,221436711,767,35901.0,97,Asia
15,Bangladesh,276549,2024.0,3657.0,32.0,158950.0,1315.0,113942.0,0.0,1677,22.0,1351666.0,8197.0,164905156,596,45093.0,122,Asia
16,Italy,253915,479.0,35396.0,4.0,203786.0,146.0,14733.0,56.0,4200,586.0,7557417.0,125020.0,60449664,238,1708.0,8,Europe
17,Turkey,249309,1192.0,5974.0,19.0,230969.0,997.0,12366.0,679.0,2952,71.0,5725242.0,67788.0,84458069,339,14138.0,15,Asia
18,Germany,224997,519.0,9290.0,0.0,202900.0,0.0,12807.0,224.0,2684,111.0,9265361.0,110539.0,83820021,373,9023.0,9,Europe
19,France,218536,3015.0,30410.0,1.0,83848.0,0.0,104278.0,367.0,3347,466.0,6000000.0,91893.0,65293028,299,2147.0,11,Europe
20,Iraq,176931,4348.0,5860.0,75.0,125374.0,2674.0,45697.0,572.0,4386,145.0,1282928.0,31806.0,40335690,228,6883.0,31,Asia
21,Philippines,161160,3327.0,2663.0,63.0,112522.0,40333.0,45975.0,461.0,1468,24.0,2037516.0,18562.0,109770544,681,41221.0,54,Asia
22,Indonesia,139549,2081.0,6150.0,79.0,93103.0,1782.0,40296.0,0.0,509,22.0,1888215.0,6894.0,273903138,1963,44537.0,145,Asia
23,Canada,122087,198.0,9026.0,2.0,108484.0,266.0,4577.0,67.0,3231,239.0,4778360.0,126459.0,37785859,309,4186.0,8,North America
24,Qatar,115080,271.0,193.0,1.0,111794.0,289.0,3093.0,74.0,40986,69.0,551273.0,196336.0,2807805,24,14548.0,5,Asia
25,Kazakhstan,102696,409.0,1373.0,21.0,81558.0,842.0,19765.0,221.0,5461,73.0,2252153.0,119757.0,18806029,183,13697.0,8,Asia
26,Ecuador,101542,854.0,6070.0,5.0,87022.0,7668.0,8450.0,376.0,5744,343.0,285784.0,16166.0,17677613,174,2912.0,62,South America
27,Bolivia,99146,1196.0,4003.0,64.0,35638.0,915.0,59505.0,71.0,8479,342.0,212019.0,18131.0,11693680,118,2921.0,55,South America
28,Egypt,96475,139.0,5160.0,19.0,59743.0,908.0,31572.0,41.0,940,50.0,135000.0,1316.0,102579903,1063,19880.0,760,Africa
29,Israel,92680,447.0,685.0,11.0,68510.0,560.0,23485.0,382.0,10077,74.0,2079941.0,226140.0,9197590,99,13427.0,4,Asia
30,Ukraine,91356,1637.0,2070.0,26.0,47822.0,392.0,41464.0,138.0,2091,47.0,1289589.0,29512.0,43697289,478,21110.0,34,Europe
31,Dominican Republic,86309,764.0,1453.0,15.0,52905.0,1549.0,31951.0,303.0,7946,134.0,322056.0,29649.0,10862212,126,7476.0,34,North America
32,Sweden,85046,64.0,5784.0,0.0,0.0,0.0,0.0,31.0,8414,572.0,917036.0,90727.0,10107657,119,1748.0,11,Europe
33,China,84827,19.0,4634.0,0.0,79575.0,56.0,618.0,34.0,59,3.0,90410000.0,62814.0,1439323776,16968,310601.0,16,Asia
