,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6676601,39282.0,198128.0,707.0,3950354.0,32392.0,2528119.0,14366.0,20147,598.0,91703503.0,276716.0,331399277,50,1673.0,4,North America
1,India,4751788,94409.0,78614.0,1108.0,3699298.0,77860.0,973876.0,8944.0,3436,57.0,55189226.0,39913.0,1382752528,291,17589.0,25,Asia
2,Brazil,4315858,31880.0,131274.0,800.0,3553421.0,22766.0,631163.0,8318.0,20275,617.0,14505652.0,68144.0,212867328,49,1622.0,15,South America
3,Russia,1057362,5488.0,18484.0,119.0,873535.0,5428.0,165343.0,2300.0,7245,127.0,40200000.0,275442.0,145947399,138,7896.0,4,Europe
4,Peru,722832,6162.0,30593.0,123.0,559321.0,7107.0,132918.0,1463.0,21862,925.0,3509997.0,106158.0,33064018,46,1081.0,9,South America
5,Colombia,708964,6876.0,22734.0,216.0,592820.0,10126.0,93410.0,863.0,13903,446.0,3132861.0,61438.0,50992538,72,2243.0,16,South America
6,Mexico,658299,5935.0,70183.0,534.0,463764.0,4914.0,124352.0,2892.0,5095,543.0,1496322.0,11581.0,129206715,196,1841.0,86,North America
7,South Africa,648214,1816.0,15427.0,49.0,576423.0,1836.0,56364.0,539.0,10902,259.0,3902786.0,65638.0,59459197,92,3854.0,15,Africa
8,Spain,576697,0.0,29747.0,0.0,0.0,0.0,0.0,1136.0,12334,636.0,9987326.0,213594.0,46758522,81,1572.0,5,Europe
9,Argentina,546481,10776.0,11263.0,115.0,409771.0,9650.0,125447.0,2962.0,12069,249.0,1540101.0,34013.0,45279901,83,4020.0,29,South America
10,Chile,432666,2131.0,11895.0,45.0,404919.0,1855.0,15852.0,918.0,22594,621.0,2791831.0,145791.0,19149531,44,1610.0,7,South America
11,Iran,399940,2139.0,23029.0,116.0,344516.0,1977.0,32395.0,3768.0,4749,273.0,3532873.0,41954.0,84209239,211,3657.0,24,Asia
12,France,373911,10561.0,30910.0,17.0,89059.0,0.0,253942.0,635.0,5726,473.0,10000000.0,153132.0,65303258,175,2113.0,7,Europe
13,UK,365174,3497.0,41623.0,9.0,0.0,0.0,0.0,79.0,5373,612.0,19293329.0,283897.0,67958978,186,1633.0,4,Europe
14,Bangladesh,336044,1282.0,4702.0,34.0,238271.0,2247.0,93071.0,0.0,2036,28.0,1715481.0,10395.0,165021623,491,35096.0,96,Asia
15,Saudi Arabia,325050,643.0,4240.0,27.0,301836.0,903.0,18974.0,1343.0,9308,121.0,5686255.0,162826.0,34922248,107,8236.0,6,Asia
16,Pakistan,300955,584.0,6373.0,3.0,288536.0,330.0,6046.0,534.0,1357,29.0,2908379.0,13116.0,221741906,737,34794.0,76,Asia
17,Turkey,289635,1509.0,6999.0,48.0,257731.0,1207.0,24905.0,1241.0,3427,83.0,8423463.0,99659.0,84522503,292,12076.0,10,Asia
18,Iraq,286778,4106.0,7941.0,60.0,221283.0,3887.0,57554.0,575.0,7098,197.0,1883048.0,46610.0,40399964,141,5088.0,21,Asia
19,Italy,286295,1499.0,35603.0,6.0,213191.0,759.0,37501.0,182.0,4737,589.0,9745975.0,161241.0,60443373,211,1698.0,6,Europe
20,Germany,260546,821.0,9427.0,4.0,235300.0,2000.0,15819.0,233.0,3108,112.0,13436301.0,160263.0,83839002,322,8893.0,6,Europe
21,Philippines,257844,4916.0,4292.0,186.0,187096.0,639.0,66456.0,1048.0,2347,39.0,3040790.0,27675.0,109874163,426,25600.0,36,Asia
22,Indonesia,214746,3806.0,8650.0,106.0,152458.0,2241.0,53638.0,0.0,783,32.0,2620004.0,9558.0,274108479,1276,31689.0,105,Asia
23,Israel,152722,4158.0,1103.0,13.0,113496.0,1768.0,38123.0,495.0,16605,120.0,2710687.0,294717.0,9197590,60,8339.0,3,Asia
24,Ukraine,151859,3103.0,3148.0,72.0,68346.0,1341.0,80365.0,177.0,3477,72.0,1834165.0,41992.0,43678722,288,13875.0,24,Europe
25,Canada,136141,515.0,9170.0,7.0,120075.0,401.0,6896.0,53.0,3601,243.0,6069252.0,160523.0,37809342,278,4123.0,6,North America
26,Bolivia,125172,967.0,7250.0,57.0,81240.0,1757.0,36682.0,71.0,10694,619.0,269472.0,23022.0,11704994,94,1614.0,43,South America
27,Qatar,121523,236.0,205.0,0.0,118475.0,276.0,2843.0,48.0,43280,73.0,685839.0,244262.0,2807805,23,13697.0,4,Asia
28,Ecuador,116451,1719.0,10864.0,28.0,91242.0,0.0,14345.0,381.0,6580,614.0,352675.0,19929.0,17696656,152,1629.0,50,South America
29,Kazakhstan,106729,68.0,1634.0,0.0,100518.0,109.0,4577.0,221.0,5670,87.0,2571562.0,136625.0,18821980,176,11519.0,7,Asia
30,Dominican Republic,103092,860.0,1953.0,12.0,76531.0,784.0,24608.0,210.0,9484,180.0,408014.0,37536.0,10869934,105,5566.0,27,North America
31,Romania,102386,1311.0,4127.0,27.0,42811.0,1801.0,55448.0,467.0,5330,215.0,2066860.0,107589.0,19210772,188,4655.0,9,Europe
32,Panama,101041,711.0,2155.0,15.0,73476.0,618.0,25410.0,158.0,23344,498.0,394728.0,91196.0,4328339,43,2009.0,11,North America
33,Egypt,100856,148.0,5627.0,20.0,83261.0,788.0,11968.0,41.0,982,55.0,135000.0,1314.0,102717223,1018,18254.0,761,Africa
34,Kuwait,94211,736.0,558.0,1.0,84404.0,744.0,9249.0,94.0,21995,130.0,673003.0,157126.0,4283219,45,7676.0,6,Asia
35,Belgium,91537,969.0,9919.0,2.0,18689.0,30.0,62929.0,67.0,7891,855.0,2566088.0,221215.0,11599964,127,1169.0,5,Europe
36,Oman,88337,0.0,762.0,0.0,83325.0,0.0,4250.0,161.0,17213,148.0,309212.0,60252.0,5131974,58,6735.0,17,Asia
37,Sweden,86505,0.0,5846.0,0.0,0.0,0.0,0.0,13.0,8555,578.0,1250488.0,123662.0,10112123,117,1730.0,8,Europe
38,China,85174,6.0,4634.0,0.0,80386.0,9.0,154.0,2.0,59,3.0,160000000.0,111163.0,1439323776,16899,310601.0,9,Asia
39,Morocco,84435,2238.0,1553.0,29.0,65867.0,1673.0,17015.0,252.0,2282,42.0,2207396.0,59661.0,36998770,438,23824.0,17,Africa
40,Guatemala,81658,649.0,2949.0,20.0,70403.0,700.0,8306.0,5.0,4541,164.0,275853.0,15341.0,17981356,220,6097.0,65,North America
41,Netherlands,81012,1231.0,6253.0,1.0,0.0,0.0,0.0,50.0,4726,365.0,1832451.0,106894.0,17142680,212,2742.0,9,Europe
42,UAE,78849,1007.0,399.0,1.0,68983.0,521.0,9467.0,0.0,7953,40.0,8042775.0,811215.0,9914483,126,24848.0,1,Asia
43,Japan,74544,643.0,1423.0,11.0,66280.0,690.0,6841.0,190.0,590,11.0,1703734.0,13479.0,126395837,1696,88823.0,74,Asia
44,Belarus,73975,191.0,744.0,6.0,72547.0,178.0,684.0,0.0,7829,79.0,1642109.0,173792.0,9448679,128,12700.0,6,Europe
45,Poland,73650,603.0,2182.0,13.0,59725.0,877.0,11743.0,85.0,1946,58.0,2970888.0,78516.0,37838014,514,17341.0,13,Europe
46,Honduras,66049,247.0,2058.0,9.0,16613.0,1036.0,47378.0,31.0,6647,207.0,157292.0,15830.0,9936072,150,4828.0,63,North America
47,Ethiopia,63888,521.0,996.0,10.0,24493.0,469.0,38399.0,330.0,553,9.0,1130850.0,9789.0,115520288,1808,115984.0,102,Africa
48,Portugal,63310,497.0,1860.0,5.0,43894.0,250.0,17556.0,59.0,6213,183.0,2229753.0,218807.0,10190520,161,5479.0,5,Europe
49,Venezuela,59630,967.0,477.0,9.0,47729.0,769.0,11424.0,111.0,2098,17.0,1824287.0,64192.0,28419170,477,59579.0,16,South America
50,Bahrain,59586,747.0,211.0,3.0,53192.0,416.0,6183.0,26.0,34788,123.0,1240204.0,724061.0,1712845,29,8118.0,1,Asia
51,Singapore,57357,42.0,27.0,0.0,56699.0,92.0,631.0,0.0,9788,5.0,2281104.0,389287.0,5859703,102,217026.0,3,Asia
52,Nigeria,56177,160.0,1078.0,2.0,44088.0,90.0,11011.0,7.0,271,5.0,438135.0,2115.0,207138366,3687,192151.0,473,Africa
53,Costa Rica,55454,1485.0,590.0,7.0,20928.0,218.0,33936.0,225.0,10866,116.0,175050.0,34300.0,5103555,92,8650.0,29,North America
54,Nepal,53120,1202.0,336.0,14.0,37524.0,852.0,15260.0,0.0,1817,11.0,831362.0,28431.0,29240966,550,87027.0,35,Asia
55,Algeria,48007,255.0,1605.0,6.0,33875.0,152.0,12527.0,32.0,1091,36.0,0.0,0.0,44008399,917,27420.0,,Africa
56,Uzbekistan,46721,561.0,384.0,7.0,43359.0,502.0,2978.0,224.0,1392,11.0,1377915.0,41050.0,33566409,718,87413.0,24,Asia
57,Switzerland,46704,465.0,2020.0,0.0,38500.0,400.0,6184.0,26.0,5388,233.0,1173798.0,135425.0,8667514,186,4291.0,7,Europe
58,Armenia,45675,172.0,911.0,2.0,41605.0,171.0,3159.0,0.0,15408,307.0,234631.0,79150.0,2964385,65,3254.0,13,Asia
59,Ghana,45434,46.0,286.0,1.0,44342.0,75.0,806.0,5.0,1456,9.0,450872.0,14451.0,31200962,687,109094.0,69,Africa
60,Kyrgyzstan,44828,67.0,1063.0,0.0,40779.0,148.0,2986.0,24.0,6849,162.0,267718.0,40900.0,6545664,146,6158.0,24,Asia
61,Moldova,42714,531.0,1117.0,3.0,30437.0,0.0,11160.0,549.0,10594,277.0,210553.0,52220.0,4032014,94,3610.0,19,Europe
62,Afghanistan,38641,35.0,1420.0,0.0,31234.0,80.0,5987.0,93.0,988,36.0,106270.0,2718.0,39100693,1012,27536.0,368,Asia
63,Azerbaijan,38172,135.0,559.0,2.0,35607.0,167.0,2006.0,0.0,3758,55.0,1002727.0,98716.0,10157722,266,18171.0,10,Asia
64,Kenya,35969,176.0,619.0,3.0,22771.0,329.0,12579.0,44.0,666,11.0,481982.0,8925.0,54004419,1501,87245.0,112,Africa
65,Czechia,35401,1541.0,453.0,3.0,21205.0,65.0,13743.0,69.0,3304,42.0,1049146.0,97931.0,10713076,303,23649.0,10,Europe
66,Austria,32696,869.0,754.0,4.0,26579.0,322.0,5363.0,42.0,3626,84.0,1331493.0,147666.0,9016902,276,11959.0,7,Europe
67,Serbia,32300,72.0,731.0,1.0,31100.0,0.0,469.0,29.0,3700,84.0,1024976.0,117408.0,8730028,270,11943.0,9,Europe
68,Ireland,30730,159.0,1783.0,2.0,23364.0,0.0,5583.0,9.0,6209,360.0,961579.0,194301.0,4948924,161,2776.0,5,Europe
69,Palestine,29906,650.0,210.0,6.0,19979.0,191.0,9717.0,0.0,5836,41.0,334699.0,65311.0,5124685,171,24403.0,15,Asia
70,Paraguay,27324,812.0,514.0,18.0,13679.0,498.0,13131.0,134.0,3821,72.0,227011.0,31749.0,7150186,262,13911.0,31,South America
71,El Salvador,26851,78.0,782.0,5.0,17874.0,441.0,8195.0,225.0,4135,120.0,344918.0,53122.0,6492905,242,8303.0,19,North America
72,Australia,26607,42.0,803.0,6.0,23329.0,112.0,2475.0,15.0,1041,31.0,6970482.0,272715.0,25559572,961,31830.0,4,Australia/Oceania
73,Lebanon,23669,686.0,239.0,10.0,7936.0,624.0,15494.0,112.0,3471,35.0,639423.0,93770.0,6819062,288,28532.0,11,Asia
74,Bosnia and Herzegovina,23138,304.0,690.0,4.0,15922.0,250.0,6526.0,0.0,7062,211.0,202243.0,61725.0,3276542,142,4749.0,16,Europe
75,Libya,22348,440.0,354.0,2.0,12100.0,9594.0,9894.0,0.0,3244,51.0,152757.0,22171.0,6890056,308,19463.0,45,Africa
76,S. Korea,22055,136.0,355.0,5.0,18029.0,413.0,3671.0,164.0,430,7.0,2135457.0,41644.0,51278298,2325,144446.0,24,Asia
77,Cameroon,20009,0.0,415.0,0.0,18837.0,0.0,757.0,30.0,750,16.0,149000.0,5586.0,26675003,1333,64277.0,179,Africa
78,Denmark,19557,341.0,630.0,1.0,16247.0,108.0,2680.0,4.0,3374,109.0,2934104.0,506195.0,5796391,296,9201.0,2,Europe
79,Ivory Coast,18987,71.0,120.0,1.0,18045.0,85.0,822.0,0.0,716,5.0,141462.0,5337.0,26505973,1396,220883.0,187,Africa
